,x,y,type,region,cell,frame
0,671.0,1482.0,Nascent,Cytoplasm,2,0
1,626.0,1572.0,Nascent,Nucleus,2,0
2,329.0,1581.0,Nascent,Nucleus,3,0
3,273.0,1604.0,Nascent,Nucleus,3,0
4,,,No Spots,NA,1,0
5,1198.0,167.0,Nascent,Nucleus,1,1
6,1306.0,239.0,Nascent,Nucleus,1,1
7,1641.0,1264.0,Nascent,Cytoplasm,4,1
8,579.0,1482.0,Nascent,Nucleus,5,1
9,524.0,1513.0,Nascent,Nucleus,5,1
10,1186.0,165.0,Nascent,Nucleus,1,1
11,1284.0,246.0,Nascent,Nucleus,1,1
12,1285.0,275.0,Nascent,Nucleus,1,1
13,1284.0,274.0,Nascent,Nucleus,1,1
14,1284.0,276.0,Nascent,Nucleus,1,1
15,1285.0,271.0,Nascent,Nucleus,1,1
16,1286.0,273.0,Nascent,Nucleus,1,1
17,1283.0,277.0,Nascent,Nucleus,1,1
18,147.0,728.0,Nascent,Cytoplasm,2,1
19,929.0,998.0,Nascent,Nucleus,3,1
20,931.0,1000.0,Nascent,Nucleus,3,1
21,1634.0,1219.0,Nascent,Cytoplasm,4,1
22,1634.0,1221.0,Nascent,Cytoplasm,4,1
23,1632.0,1219.0,Nascent,Cytoplasm,4,1
24,1636.0,1218.0,Nascent,Cytoplasm,4,1
25,1632.0,1221.0,Nascent,Cytoplasm,4,1
26,1592.0,1346.0,Nascent,Cytoplasm,4,1
27,1500.0,418.0,Nascent,Nucleus,1,2
28,1356.0,431.0,Nascent,Nucleus,1,2
29,1565.0,445.0,Nascent,Cytoplasm,1,2
30,1400.0,457.0,Mature,Nucleus,1,2
31,1384.0,474.0,Nascent,Nucleus,1,2
32,1575.0,499.0,Nascent,Cytoplasm,1,2
33,1406.0,521.0,Nascent,Nucleus,1,2
34,1426.0,524.0,Nascent,Nucleus,1,2
35,1414.0,540.0,Nascent,Nucleus,1,2
36,1438.0,1040.0,Nascent,Cytoplasm,2,2
37,1506.0,1079.0,Nascent,Nucleus,2,2
38,1486.0,1186.0,Nascent,Cytoplasm,2,2
39,1402.0,1232.0,Nascent,Cytoplasm,2,2
40,1532.0,1235.0,Nascent,Cytoplasm,2,2
41,1415.0,426.0,Nascent,Nucleus,1,2
42,1413.0,435.0,Nascent,Nucleus,1,2
43,1385.0,473.0,Nascent,Nucleus,1,2
44,1384.0,477.0,Nascent,Nucleus,1,2
45,1464.0,498.0,Nascent,Nucleus,1,2
46,1598.0,504.0,Nascent,Cytoplasm,1,2
47,1407.0,520.0,Nascent,Nucleus,1,2
48,1413.0,541.0,Nascent,Nucleus,1,2
49,1581.0,1085.0,Nascent,Cytoplasm,2,2
50,1422.0,397.0,Nascent,Nucleus,1,2
51,1389.0,457.0,Nascent,Nucleus,1,2
52,1401.0,458.0,Mature,Nucleus,1,2
53,1413.0,464.0,Nascent,Nucleus,1,2
54,1399.0,465.0,Mature,Nucleus,1,2
55,1398.0,466.0,Mature,Nucleus,1,2
56,1399.0,465.0,Mature,Nucleus,1,2
57,1398.0,466.0,Mature,Nucleus,1,2
58,1399.0,465.0,Mature,Nucleus,1,2
59,1398.0,466.0,Mature,Nucleus,1,2
60,1399.0,465.0,Mature,Nucleus,1,2
61,1400.0,470.0,Mature,Nucleus,1,2
62,1401.0,466.0,Mature,Nucleus,1,2
63,1486.0,474.0,Nascent,Nucleus,1,2
64,1547.0,1086.0,Nascent,Nucleus,2,2
65,1582.0,1115.0,Nascent,Cytoplasm,2,2
66,,,No Spots,NA,3,2
67,1506.0,321.0,Nascent,Cytoplasm,1,3
68,1502.0,821.0,Nascent,Nucleus,3,3
69,1468.0,926.0,Nascent,Cytoplasm,3,3
70,1357.0,934.0,Nascent,Cytoplasm,3,3
71,1459.0,1237.0,Nascent,Cytoplasm,4,3
72,1349.0,1239.0,Nascent,Cytoplasm,4,3
73,1399.0,1246.0,Nascent,Cytoplasm,4,3
74,1472.0,1255.0,Nascent,Cytoplasm,4,3
75,1371.0,1261.0,Nascent,Cytoplasm,4,3
76,1467.0,1263.0,Nascent,Cytoplasm,4,3
77,1407.0,1271.0,Nascent,Cytoplasm,4,3
78,1337.0,1273.0,Nascent,Cytoplasm,4,3
79,1329.0,1276.0,Nascent,Cytoplasm,4,3
80,1351.0,1276.0,Nascent,Cytoplasm,4,3
81,1370.0,1277.0,Nascent,Cytoplasm,4,3
82,1388.0,1281.0,Nascent,Cytoplasm,4,3
83,1470.0,1287.0,Nascent,Cytoplasm,4,3
84,1507.0,1287.0,Nascent,Cytoplasm,4,3
85,1361.0,1298.0,Nascent,Cytoplasm,4,3
86,1520.0,1299.0,Nascent,Cytoplasm,4,3
87,1342.0,1320.0,Nascent,Cytoplasm,4,3
88,1533.0,1325.0,Nascent,Cytoplasm,4,3
89,1518.0,1362.0,Nascent,Nucleus,4,3
90,1435.0,1370.0,Nascent,Nucleus,4,3
91,1423.0,1378.0,Nascent,Nucleus,4,3
92,1348.0,1218.0,Nascent,Cytoplasm,4,3
93,1337.0,1274.0,Nascent,Cytoplasm,4,3
94,394.0,1312.0,Nascent,Cytoplasm,5,3
95,1531.0,810.0,Nascent,Nucleus,3,3
96,1502.0,830.0,Nascent,Nucleus,3,3
97,1440.0,832.0,Nascent,Nucleus,3,3
98,1439.0,833.0,Nascent,Nucleus,3,3
99,1432.0,841.0,Nascent,Nucleus,3,3
100,1433.0,842.0,Nascent,Nucleus,3,3
101,1514.0,873.0,Nascent,Nucleus,3,3
102,1515.0,873.0,Nascent,Nucleus,3,3
103,1512.0,874.0,Nascent,Nucleus,3,3
104,1355.0,1266.0,Nascent,Cytoplasm,4,3
105,1376.0,1270.0,Nascent,Cytoplasm,4,3
106,1355.0,1273.0,Nascent,Cytoplasm,4,3
107,1381.0,1277.0,Nascent,Cytoplasm,4,3
108,1359.0,1284.0,Nascent,Cytoplasm,4,3
109,1363.0,1286.0,Nascent,Cytoplasm,4,3
110,1361.0,1282.0,Nascent,Cytoplasm,4,3
111,1371.0,1289.0,Nascent,Cytoplasm,4,3
112,1364.0,1294.0,Nascent,Cytoplasm,4,3
113,1351.0,1299.0,Nascent,Cytoplasm,4,3
114,1354.0,1299.0,Nascent,Cytoplasm,4,3
115,1360.0,1299.0,Nascent,Cytoplasm,4,3
116,1421.0,1310.0,Nascent,Nucleus,4,3
117,1392.0,1313.0,Nascent,Nucleus,4,3
118,1392.0,1315.0,Nascent,Nucleus,4,3
119,1388.0,1315.0,Nascent,Nucleus,4,3
120,1443.0,1360.0,Nascent,Nucleus,4,3
121,,,No Spots,NA,2,3
122,,,No Spots,NA,6,3
123,1064.0,246.0,Nascent,Cytoplasm,1,4
124,994.0,256.0,Nascent,Cytoplasm,1,4
125,1118.0,1271.0,Nascent,Cytoplasm,2,5
126,1030.0,1294.0,Nascent,Nucleus,2,5
127,1178.0,1297.0,Nascent,Cytoplasm,2,5
128,1039.0,1304.0,Nascent,Nucleus,2,5
129,1097.0,1303.0,Nascent,Nucleus,2,5
130,1129.0,1309.0,Nascent,Nucleus,2,5
131,958.0,1312.0,Nascent,Cytoplasm,2,5
132,1236.0,1312.0,Nascent,Cytoplasm,2,5
133,1244.0,1316.0,Nascent,Cytoplasm,2,5
134,1232.0,1327.0,Nascent,Cytoplasm,2,5
135,1032.0,1338.0,Nascent,Nucleus,2,5
136,1109.0,1342.0,Nascent,Nucleus,2,5
137,994.0,1365.0,Nascent,Cytoplasm,2,5
138,1046.0,1416.0,Nascent,Nucleus,2,5
139,1100.0,1441.0,Nascent,Nucleus,2,5
140,1228.0,1323.0,Nascent,Cytoplasm,2,5
141,1200.0,1344.0,Nascent,Cytoplasm,2,5
142,995.0,1366.0,Nascent,Cytoplasm,2,5
143,1114.0,1379.0,Nascent,Nucleus,2,5
144,1101.0,1441.0,Nascent,Nucleus,2,5
145,1100.0,1489.0,Nascent,Cytoplasm,2,5
146,1087.0,1262.0,Nascent,Cytoplasm,2,5
147,1039.0,1324.0,Mature,Nucleus,2,5
148,1039.0,1325.0,Mature,Nucleus,2,5
149,1039.0,1324.0,Mature,Nucleus,2,5
150,1039.0,1325.0,Mature,Nucleus,2,5
151,1037.0,1322.0,Mature,Nucleus,2,5
152,1039.0,1322.0,Mature,Nucleus,2,5
153,1039.0,1325.0,Mature,Nucleus,2,5
154,1039.0,1319.0,Mature,Nucleus,2,5
155,1041.0,1323.0,Mature,Nucleus,2,5
156,1037.0,1322.0,Mature,Nucleus,2,5
157,1040.0,1326.0,Mature,Nucleus,2,5
158,1041.0,1319.0,Mature,Nucleus,2,5
159,1035.0,1325.0,Mature,Nucleus,2,5
160,981.0,1328.0,Nascent,Cytoplasm,2,5
161,1122.0,1329.0,Nascent,Nucleus,2,5
162,1257.0,1331.0,Nascent,Cytoplasm,2,5
163,1136.0,1342.0,Nascent,Nucleus,2,5
164,1136.0,1342.0,Nascent,Nucleus,2,5
165,1129.0,1393.0,Nascent,Nucleus,2,5
166,1129.0,1393.0,Nascent,Nucleus,2,5
167,1127.0,1394.0,Nascent,Nucleus,2,5
168,1115.0,1442.0,Nascent,Nucleus,2,5
169,1112.0,1442.0,Nascent,Nucleus,2,5
170,,,No Spots,NA,1,5
171,,,No Spots,NA,3,5
172,,,No Spots,NA,4,5
173,1587.0,1513.0,Nascent,Cytoplasm,2,6
174,1452.0,1520.0,Nascent,Cytoplasm,2,6
175,1564.0,1577.0,Nascent,Nucleus,2,6
176,1463.0,1588.0,Nascent,Nucleus,2,6
177,1332.0,1651.0,Nascent,Cytoplasm,2,6
178,1334.0,1652.0,Nascent,Cytoplasm,2,6
179,1442.0,1672.0,Nascent,Nucleus,2,6
180,1442.0,1672.0,Nascent,Nucleus,2,6
181,1441.0,1672.0,Nascent,Nucleus,2,6
182,,,No Spots,NA,1,6
183,819.0,797.0,Nascent,Cytoplasm,2,8
184,297.0,740.0,Nascent,Nucleus,1,8
185,,,No Spots,NA,1,9
186,,,No Spots,NA,2,9
187,732.0,981.0,Nascent,Nucleus,4,10
188,1633.0,1388.0,Nascent,Cytoplasm,2,10
189,1637.0,1391.0,Nascent,Cytoplasm,2,10
190,1513.0,1499.0,Nascent,Nucleus,2,10
191,1547.0,1506.0,Nascent,Cytoplasm,2,10
192,1540.0,1512.0,Nascent,Cytoplasm,2,10
193,1667.0,1401.0,Nascent,Cytoplasm,2,10
194,823.0,1091.0,Nascent,Cytoplasm,4,10
195,1583.0,1380.0,Nascent,Nucleus,2,10
196,1637.0,1392.0,Nascent,Cytoplasm,2,10
197,,,No Spots,NA,1,10
198,,,No Spots,NA,3,10
199,538.0,960.0,Nascent,Cytoplasm,4,11
200,1426.0,979.0,Nascent,Cytoplasm,3,11
201,1335.0,983.0,Nascent,Cytoplasm,3,11
202,495.0,1074.0,Nascent,Nucleus,4,11
203,1342.0,1085.0,Nascent,Nucleus,3,11
204,362.0,1155.0,Nascent,Nucleus,4,11
205,949.0,1290.0,Nascent,Nucleus,5,11
206,885.0,1389.0,Nascent,Nucleus,5,11
207,901.0,1431.0,Nascent,Nucleus,5,11
208,1340.0,1031.0,Nascent,Nucleus,3,11
209,1328.0,1127.0,Nascent,Nucleus,3,11
210,496.0,1129.0,Nascent,Nucleus,4,11
211,505.0,1129.0,Nascent,Nucleus,4,11
212,965.0,1338.0,Nascent,Nucleus,5,11
213,955.0,1396.0,Nascent,Nucleus,5,11
214,964.0,1413.0,Nascent,Nucleus,5,11
215,1004.0,403.0,Nascent,Nucleus,2,11
216,1404.0,1037.0,Nascent,Nucleus,3,11
217,1403.0,1038.0,Nascent,Nucleus,3,11
218,1370.0,1038.0,Nascent,Nucleus,3,11
219,1343.0,1072.0,Nascent,Nucleus,3,11
220,1341.0,1072.0,Nascent,Nucleus,3,11
221,1344.0,1073.0,Nascent,Nucleus,3,11
222,509.0,1096.0,Mature,Nucleus,4,11
223,510.0,1095.0,Mature,Nucleus,4,11
224,509.0,1096.0,Mature,Nucleus,4,11
225,510.0,1094.0,Mature,Nucleus,4,11
226,509.0,1096.0,Mature,Nucleus,4,11
227,508.0,1094.0,Mature,Nucleus,4,11
228,510.0,1096.0,Mature,Nucleus,4,11
229,510.0,1094.0,Mature,Nucleus,4,11
230,508.0,1094.0,Mature,Nucleus,4,11
231,510.0,1096.0,Mature,Nucleus,4,11
232,508.0,1094.0,Mature,Nucleus,4,11
233,510.0,1096.0,Mature,Nucleus,4,11
234,510.0,1094.0,Mature,Nucleus,4,11
235,509.0,1096.0,Mature,Nucleus,4,11
236,508.0,1094.0,Mature,Nucleus,4,11
237,510.0,1094.0,Mature,Nucleus,4,11
238,510.0,1096.0,Mature,Nucleus,4,11
239,508.0,1094.0,Mature,Nucleus,4,11
240,512.0,1099.0,Mature,Nucleus,4,11
241,510.0,1092.0,Mature,Nucleus,4,11
242,361.0,1157.0,Nascent,Nucleus,4,11
243,967.0,1390.0,Nascent,Nucleus,5,11
244,968.0,1391.0,Nascent,Nucleus,5,11
245,922.0,1420.0,Nascent,Nucleus,5,11
246,,,No Spots,NA,1,11
247,815.0,773.0,Nascent,Nucleus,1,12
248,874.0,787.0,Nascent,Cytoplasm,1,12
249,805.0,836.0,Nascent,Nucleus,1,12
250,,,No Spots,NA,2,12
251,,,No Spots,NA,3,12
252,1435.0,674.0,Nascent,Cytoplasm,3,13
253,1560.0,748.0,Nascent,Nucleus,3,13
254,1462.0,765.0,Nascent,Cytoplasm,3,13
255,1467.0,812.0,Nascent,Cytoplasm,3,13
256,216.0,1071.0,Nascent,Nucleus,4,13
257,1463.0,764.0,Nascent,Cytoplasm,3,13
258,1484.0,725.0,Nascent,Nucleus,3,13
259,1537.0,741.0,Nascent,Nucleus,3,13
260,1538.0,742.0,Nascent,Nucleus,3,13
261,1536.0,743.0,Nascent,Nucleus,3,13
262,,,No Spots,NA,1,13
263,,,No Spots,NA,2,13
264,1157.0,473.0,Nascent,Cytoplasm,2,14
265,1557.0,640.0,Nascent,Cytoplasm,3,14
266,1592.0,684.0,Nascent,Cytoplasm,3,14
267,1472.0,712.0,Nascent,Nucleus,3,14
268,1092.0,576.0,Nascent,Nucleus,2,14
269,1593.0,684.0,Nascent,Cytoplasm,3,14
270,1595.0,716.0,Nascent,Cytoplasm,3,14
271,1596.0,718.0,Nascent,Cytoplasm,3,14
272,1331.0,787.0,Mature,Cytoplasm,3,14
273,1331.0,785.0,Mature,Cytoplasm,3,14
274,1330.0,796.0,Mature,Cytoplasm,3,14
275,1321.0,784.0,Mature,Cytoplasm,3,14
276,1328.0,787.0,Mature,Cytoplasm,3,14
277,1325.0,781.0,Mature,Cytoplasm,3,14
278,1323.0,787.0,Mature,Cytoplasm,3,14
279,1330.0,790.0,Mature,Cytoplasm,3,14
280,1321.0,796.0,Mature,Cytoplasm,3,14
281,1329.0,783.0,Mature,Cytoplasm,3,14
282,1335.0,787.0,Mature,Cytoplasm,3,14
283,1326.0,790.0,Mature,Cytoplasm,3,14
284,1331.0,795.0,Mature,Cytoplasm,3,14
285,1321.0,792.0,Mature,Cytoplasm,3,14
286,1324.0,785.0,Mature,Cytoplasm,3,14
287,1332.0,790.0,Mature,Cytoplasm,3,14
288,1325.0,793.0,Mature,Cytoplasm,3,14
289,1324.0,797.0,Mature,Cytoplasm,3,14
290,1323.0,781.0,Mature,Cytoplasm,3,14
291,1334.0,785.0,Mature,Cytoplasm,3,14
292,1328.0,793.0,Mature,Cytoplasm,3,14
293,1331.0,787.0,Mature,Cytoplasm,3,14
294,1338.0,787.0,Mature,Cytoplasm,3,14
295,1345.0,798.0,Nascent,Cytoplasm,3,14
296,1346.0,795.0,Nascent,Cytoplasm,3,14
297,1342.0,792.0,Mature,Cytoplasm,3,14
298,1347.0,798.0,Nascent,Cytoplasm,3,14
299,1315.0,801.0,Mature,Cytoplasm,3,14
300,1317.0,802.0,Mature,Cytoplasm,3,14
301,1349.0,801.0,Mature,Cytoplasm,3,14
302,1348.0,805.0,Mature,Cytoplasm,3,14
303,1360.0,805.0,Mature,Cytoplasm,3,14
304,1362.0,805.0,Mature,Cytoplasm,3,14
305,1360.0,809.0,Mature,Cytoplasm,3,14
306,1328.0,808.0,Mature,Cytoplasm,3,14
307,1329.0,806.0,Mature,Cytoplasm,3,14
308,1328.0,809.0,Mature,Cytoplasm,3,14
309,1328.0,806.0,Mature,Cytoplasm,3,14
310,1332.0,808.0,Mature,Cytoplasm,3,14
311,1324.0,809.0,Mature,Cytoplasm,3,14
312,1328.0,809.0,Mature,Cytoplasm,3,14
313,1319.0,809.0,Mature,Cytoplasm,3,14
314,1326.0,807.0,Mature,Cytoplasm,3,14
315,1324.0,812.0,Mature,Cytoplasm,3,14
316,1356.0,807.0,Mature,Cytoplasm,3,14
317,1368.0,816.0,Mature,Cytoplasm,3,14
318,1367.0,813.0,Mature,Cytoplasm,3,14
319,1370.0,814.0,Mature,Cytoplasm,3,14
320,1366.0,814.0,Mature,Cytoplasm,3,14
321,1369.0,810.0,Mature,Cytoplasm,3,14
322,1366.0,819.0,Mature,Cytoplasm,3,14
323,1370.0,816.0,Mature,Cytoplasm,3,14
324,1364.0,822.0,Mature,Cytoplasm,3,14
325,1363.0,813.0,Mature,Cytoplasm,3,14
326,1353.0,820.0,Mature,Cytoplasm,3,14
327,1353.0,820.0,Mature,Cytoplasm,3,14
328,1352.0,816.0,Mature,Cytoplasm,3,14
329,1356.0,820.0,Mature,Cytoplasm,3,14
330,1344.0,821.0,Mature,Cytoplasm,3,14
331,1344.0,823.0,Mature,Cytoplasm,3,14
332,1346.0,819.0,Mature,Cytoplasm,3,14
333,,,No Spots,NA,1,14
334,1156.0,255.0,Nascent,Cytoplasm,1,15
335,1229.0,341.0,Nascent,Nucleus,1,15
336,1156.0,416.0,Nascent,Nucleus,1,15
337,1367.0,623.0,Nascent,Nucleus,2,15
338,1038.0,1345.0,Nascent,Cytoplasm,4,15
339,997.0,1395.0,Nascent,Nucleus,4,15
340,1128.0,1457.0,Nascent,Nucleus,4,15
341,1366.0,670.0,Nascent,Nucleus,2,15
342,1399.0,715.0,Nascent,Nucleus,2,15
343,994.0,1375.0,Nascent,Nucleus,4,15
344,1043.0,1397.0,Nascent,Nucleus,4,15
345,1418.0,641.0,Nascent,Nucleus,2,15
346,1417.0,643.0,Nascent,Nucleus,2,15
347,1415.0,643.0,Nascent,Nucleus,2,15
348,1084.0,1341.0,Nascent,Cytoplasm,4,15
349,1086.0,1373.0,Nascent,Nucleus,4,15
350,984.0,1375.0,Nascent,Nucleus,4,15
351,985.0,1377.0,Nascent,Nucleus,4,15
352,981.0,1375.0,Nascent,Nucleus,4,15
353,985.0,1375.0,Nascent,Nucleus,4,15
354,1039.0,1376.0,Nascent,Nucleus,4,15
355,1040.0,1375.0,Nascent,Nucleus,4,15
356,1037.0,1378.0,Nascent,Nucleus,4,15
357,1105.0,1389.0,Nascent,Nucleus,4,15
358,1102.0,1432.0,Nascent,Nucleus,4,15
359,1160.0,1405.0,Transcription Site,Cytoplasm,4,15
360,994.0,1423.0,Transcription Site,Nucleus,4,15
361,,,No Spots,NA,3,15
362,1314.0,250.0,Nascent,Nucleus,1,16
363,1728.0,400.0,Nascent,Cytoplasm,3,16
364,1555.0,438.0,Nascent,Cytoplasm,3,16
365,1536.0,481.0,Nascent,Nucleus,3,16
366,1501.0,486.0,Nascent,Cytoplasm,3,16
367,1426.0,529.0,Nascent,Cytoplasm,3,16
368,255.0,1531.0,Nascent,Cytoplasm,2,16
369,1554.0,476.0,Nascent,Nucleus,3,16
370,1637.0,506.0,Nascent,Nucleus,3,16
371,1395.0,298.0,Nascent,Nucleus,1,16
372,1397.0,298.0,Nascent,Nucleus,1,16
373,1599.0,519.0,Nascent,Nucleus,3,16
374,1543.0,614.0,Nascent,Nucleus,3,16
375,,,No Spots,NA,1,17
376,,,No Spots,NA,2,17
377,1547.0,362.0,Nascent,Cytoplasm,2,18
378,418.0,1480.0,Nascent,Cytoplasm,3,18
379,,,No Spots,NA,1,18
380,1022.0,607.0,Nascent,Cytoplasm,3,20
381,1181.0,651.0,Nascent,Nucleus,3,20
382,772.0,754.0,Nascent,Cytoplasm,4,20
383,825.0,793.0,Nascent,Nucleus,4,20
384,1422.0,884.0,Nascent,Nucleus,5,20
385,963.0,1120.0,Nascent,Cytoplasm,6,20
386,839.0,1175.0,Nascent,Nucleus,6,20
387,930.0,1242.0,Nascent,Nucleus,6,20
388,907.0,1260.0,Nascent,Nucleus,6,20
389,1260.0,1286.0,Nascent,Nucleus,7,20
390,1268.0,1481.0,Nascent,Cytoplasm,7,20
391,1200.0,634.0,Nascent,Nucleus,3,20
392,816.0,740.0,Nascent,Nucleus,4,20
393,890.0,761.0,Nascent,Nucleus,4,20
394,1327.0,769.0,Nascent,Nucleus,5,20
395,1320.0,852.0,Nascent,Nucleus,5,20
396,1338.0,881.0,Nascent,Nucleus,5,20
397,906.0,1261.0,Nascent,Nucleus,6,20
398,1331.0,1278.0,Nascent,Cytoplasm,7,20
399,1225.0,1445.0,Nascent,Nucleus,7,20
400,1097.0,652.0,Nascent,Nucleus,3,20
401,1096.0,654.0,Nascent,Nucleus,3,20
402,1386.0,781.0,Nascent,Nucleus,5,20
403,1331.0,800.0,Nascent,Nucleus,5,20
404,1332.0,801.0,Nascent,Nucleus,5,20
405,1391.0,846.0,Nascent,Nucleus,5,20
406,1314.0,872.0,Nascent,Nucleus,5,20
407,1313.0,877.0,Nascent,Nucleus,5,20
408,1315.0,878.0,Nascent,Nucleus,5,20
409,1313.0,878.0,Nascent,Nucleus,5,20
410,1315.0,877.0,Nascent,Nucleus,5,20
411,1336.0,894.0,Nascent,Nucleus,5,20
412,1335.0,895.0,Nascent,Nucleus,5,20
413,1254.0,1136.0,Nascent,Cytoplasm,7,20
414,865.0,1143.0,Nascent,Cytoplasm,6,20
415,866.0,1145.0,Nascent,Cytoplasm,6,20
416,909.0,1213.0,Mature,Nucleus,6,20
417,910.0,1214.0,Mature,Nucleus,6,20
418,909.0,1213.0,Mature,Nucleus,6,20
419,910.0,1214.0,Mature,Nucleus,6,20
420,908.0,1215.0,Mature,Nucleus,6,20
421,910.0,1213.0,Mature,Nucleus,6,20
422,908.0,1215.0,Mature,Nucleus,6,20
423,909.0,1209.0,Mature,Nucleus,6,20
424,968.0,1227.0,Nascent,Nucleus,6,20
425,896.0,1230.0,Nascent,Nucleus,6,20
426,905.0,1241.0,Nascent,Nucleus,6,20
427,1285.0,1426.0,Nascent,Nucleus,7,20
428,1285.0,1423.0,Nascent,Nucleus,7,20
429,1259.0,1442.0,Nascent,Nucleus,7,20
430,1213.0,909.0,Transcription Site,Cytoplasm,5,20
431,,,No Spots,NA,1,20
432,,,No Spots,NA,2,20
433,951.0,248.0,Nascent,Nucleus,1,21
434,1173.0,716.0,Nascent,Cytoplasm,3,21
435,1154.0,722.0,Nascent,Cytoplasm,3,21
436,681.0,785.0,Nascent,Cytoplasm,2,21
437,1261.0,798.0,Nascent,Nucleus,3,21
438,1156.0,809.0,Nascent,Nucleus,3,21
439,1199.0,836.0,Nascent,Nucleus,3,21
440,1162.0,860.0,Nascent,Nucleus,3,21
441,1048.0,863.0,Nascent,Cytoplasm,3,21
442,875.0,281.0,Nascent,Nucleus,1,21
443,872.0,281.0,Nascent,Nucleus,1,21
444,876.0,280.0,Nascent,Nucleus,1,21
445,904.0,312.0,Nascent,Nucleus,1,21
446,902.0,314.0,Nascent,Nucleus,1,21
447,1209.0,778.0,Nascent,Nucleus,3,21
448,1208.0,776.0,Nascent,Nucleus,3,21
449,1210.0,781.0,Nascent,Nucleus,3,21
450,1211.0,778.0,Nascent,Nucleus,3,21
451,1206.0,777.0,Nascent,Nucleus,3,21
452,1208.0,781.0,Nascent,Nucleus,3,21
453,1101.0,802.0,Nascent,Cytoplasm,3,21
454,1142.0,839.0,Mature,Nucleus,3,21
455,1141.0,838.0,Mature,Nucleus,3,21
456,1143.0,838.0,Mature,Nucleus,3,21
457,1143.0,841.0,Mature,Nucleus,3,21
458,1153.0,826.0,Mature,Nucleus,3,21
459,1141.0,839.0,Mature,Nucleus,3,21
460,1143.0,838.0,Mature,Nucleus,3,21
461,1143.0,841.0,Mature,Nucleus,3,21
462,1152.0,825.0,Mature,Nucleus,3,21
463,1145.0,828.0,Mature,Nucleus,3,21
464,1141.0,838.0,Mature,Nucleus,3,21
465,1150.0,825.0,Mature,Nucleus,3,21
466,1143.0,832.0,Mature,Nucleus,3,21
467,1146.0,831.0,Mature,Nucleus,3,21
468,1153.0,826.0,Mature,Nucleus,3,21
469,1144.0,840.0,Mature,Nucleus,3,21
470,1141.0,840.0,Mature,Nucleus,3,21
471,1148.0,830.0,Mature,Nucleus,3,21
472,1148.0,826.0,Mature,Nucleus,3,21
473,1139.0,836.0,Mature,Nucleus,3,21
474,1144.0,834.0,Mature,Nucleus,3,21
475,1150.0,847.0,Mature,Nucleus,3,21
476,1151.0,847.0,Mature,Nucleus,3,21
477,1149.0,850.0,Nascent,Nucleus,3,21
478,1206.0,861.0,Nascent,Nucleus,3,21
479,,,No Spots,NA,4,21
480,1527.0,1125.0,Nascent,Cytoplasm,2,22
481,1587.0,1143.0,Nascent,Cytoplasm,2,22
482,1625.0,1160.0,Nascent,Cytoplasm,2,22
483,1570.0,1172.0,Nascent,Cytoplasm,2,22
