,x,y,type,region,cell,frame
0,242.0,1234.0,Nascent,Nucleus,1,0
1,1562.0,1547.0,Nascent,Nucleus,2,0
2,1700.0,1629.0,Nascent,Cytoplasm,2,0
3,102.0,1246.0,Nascent,Cytoplasm,1,0
4,206.0,1299.0,Nascent,Nucleus,1,0
5,1557.0,1159.0,Nascent,Nucleus,1,2
6,1523.0,1198.0,Nascent,Nucleus,1,2
7,1546.0,1201.0,Nascent,Nucleus,1,2
8,1569.0,1230.0,Nascent,Nucleus,1,2
9,1567.0,1245.0,Nascent,Nucleus,1,2
10,1534.0,1187.0,Nascent,Nucleus,1,2
11,1524.0,1200.0,Nascent,Nucleus,1,2
12,1567.0,1236.0,Nascent,Nucleus,1,2
13,1546.0,1258.0,Nascent,Nucleus,1,2
14,1542.0,1209.0,Nascent,Nucleus,1,2
15,1554.0,1252.0,Nascent,Nucleus,1,2
16,1523.0,1264.0,Nascent,Nucleus,1,2
17,1524.0,1277.0,Nascent,Nucleus,1,2
18,494.0,465.0,Nascent,Cytoplasm,1,4
19,311.0,1096.0,Nascent,Cytoplasm,1,5
20,352.0,1190.0,Nascent,Cytoplasm,1,5
21,303.0,968.0,Nascent,Cytoplasm,1,5
22,301.0,968.0,Nascent,Cytoplasm,1,5
23,647.0,249.0,Nascent,Cytoplasm,1,6
24,656.0,259.0,Nascent,Cytoplasm,1,6
25,692.0,325.0,Nascent,Cytoplasm,1,6
26,365.0,703.0,Nascent,Cytoplasm,1,7
27,1214.0,1203.0,Nascent,Cytoplasm,1,11
28,1097.0,1222.0,Nascent,Nucleus,1,11
29,1195.0,1240.0,Nascent,Cytoplasm,1,11
30,1124.0,1129.0,Nascent,Nucleus,1,11
31,1185.0,1148.0,Nascent,Nucleus,1,11
32,1259.0,1192.0,Nascent,Cytoplasm,1,11
33,1167.0,1227.0,Nascent,Nucleus,1,11
34,,,No Spots,NA,2,11
35,1283.0,1598.0,Nascent,Cytoplasm,2,12
36,579.0,1209.0,Nascent,Nucleus,1,12
37,559.0,1178.0,Nascent,Nucleus,1,12
38,560.0,1178.0,Nascent,Nucleus,1,12
39,559.0,1177.0,Nascent,Nucleus,1,12
40,560.0,1180.0,Nascent,Nucleus,1,12
41,1368.0,1441.0,Nascent,Cytoplasm,2,12
42,913.0,823.0,Nascent,Cytoplasm,1,15
43,892.0,827.0,Nascent,Cytoplasm,1,15
44,951.0,848.0,Nascent,Cytoplasm,1,15
45,915.0,848.0,Nascent,Cytoplasm,1,15
46,898.0,903.0,Nascent,Cytoplasm,1,15
47,947.0,934.0,Nascent,Cytoplasm,1,15
48,978.0,936.0,Nascent,Nucleus,1,15
49,1024.0,1103.0,Nascent,Nucleus,1,15
50,917.0,825.0,Nascent,Cytoplasm,1,15
51,891.0,828.0,Nascent,Cytoplasm,1,15
52,953.0,845.0,Nascent,Cytoplasm,1,15
53,1048.0,937.0,Nascent,Nucleus,1,15
54,1038.0,1101.0,Nascent,Cytoplasm,1,15
55,903.0,823.0,Nascent,Cytoplasm,1,15
56,912.0,824.0,Nascent,Cytoplasm,1,15
57,901.0,826.0,Nascent,Cytoplasm,1,15
58,897.0,827.0,Nascent,Cytoplasm,1,15
59,920.0,827.0,Nascent,Cytoplasm,1,15
60,897.0,831.0,Nascent,Cytoplasm,1,15
61,907.0,855.0,Nascent,Cytoplasm,1,15
62,911.0,856.0,Nascent,Cytoplasm,1,15
63,910.0,862.0,Nascent,Cytoplasm,1,15
64,913.0,864.0,Nascent,Cytoplasm,1,15
65,1036.0,1069.0,Nascent,Nucleus,1,15
66,1311.0,629.0,Nascent,Cytoplasm,3,22
67,518.0,686.0,Nascent,Cytoplasm,2,22
68,570.0,744.0,Nascent,Cytoplasm,2,22
69,602.0,786.0,Nascent,Cytoplasm,2,22
70,554.0,803.0,Nascent,Nucleus,2,22
71,592.0,848.0,Nascent,Cytoplasm,2,22
72,521.0,925.0,Nascent,Cytoplasm,2,22
73,426.0,929.0,Nascent,Nucleus,2,22
74,454.0,942.0,Nascent,Nucleus,2,22
75,476.0,960.0,Nascent,Cytoplasm,2,22
76,1340.0,685.0,Nascent,Nucleus,3,22
77,602.0,787.0,Nascent,Cytoplasm,2,22
78,1258.0,797.0,Nascent,Cytoplasm,3,22
79,522.0,924.0,Nascent,Cytoplasm,2,22
80,423.0,932.0,Nascent,Nucleus,2,22
81,454.0,943.0,Nascent,Nucleus,2,22
82,280.0,1076.0,Nascent,Cytoplasm,2,22
83,1353.0,632.0,Nascent,Cytoplasm,3,22
84,545.0,693.0,Nascent,Cytoplasm,2,22
85,543.0,696.0,Nascent,Cytoplasm,2,22
86,596.0,697.0,Nascent,Cytoplasm,2,22
87,441.0,847.0,Nascent,Nucleus,2,22
88,582.0,879.0,Nascent,Cytoplasm,2,22
89,584.0,880.0,Nascent,Cytoplasm,2,22
90,474.0,912.0,Nascent,Nucleus,2,22
91,419.0,928.0,Nascent,Cytoplasm,2,22
92,,,No Spots,NA,1,22
93,1296.0,569.0,Nascent,Cytoplasm,2,23
94,1539.0,622.0,Nascent,Nucleus,1,23
95,1571.0,646.0,Nascent,Nucleus,1,23
96,1519.0,653.0,Nascent,Cytoplasm,1,23
97,1347.0,664.0,Nascent,Cytoplasm,2,23
98,1325.0,866.0,Nascent,Nucleus,2,23
99,1370.0,869.0,Nascent,Nucleus,2,23
100,1339.0,880.0,Nascent,Nucleus,2,23
101,1253.0,902.0,Nascent,Cytoplasm,2,23
102,1368.0,902.0,Nascent,Nucleus,2,23
103,1264.0,911.0,Nascent,Cytoplasm,2,23
104,1373.0,911.0,Nascent,Cytoplasm,2,23
105,1363.0,924.0,Nascent,Cytoplasm,2,23
106,1414.0,926.0,Nascent,Cytoplasm,2,23
107,1335.0,976.0,Nascent,Cytoplasm,2,23
108,1252.0,985.0,Nascent,Cytoplasm,2,23
109,581.0,1054.0,Nascent,Nucleus,3,23
110,1550.0,451.0,Nascent,Cytoplasm,1,23
111,1526.0,631.0,Nascent,Cytoplasm,1,23
112,1557.0,679.0,Nascent,Nucleus,1,23
113,1511.0,715.0,Nascent,Cytoplasm,1,23
114,1683.0,764.0,Nascent,Cytoplasm,1,23
115,1288.0,769.0,Nascent,Nucleus,2,23
116,1606.0,806.0,Nascent,Cytoplasm,1,23
117,1393.0,809.0,Nascent,Nucleus,2,23
118,1249.0,809.0,Nascent,Cytoplasm,2,23
119,1217.0,830.0,Nascent,Cytoplasm,2,23
120,1305.0,896.0,Nascent,Cytoplasm,2,23
121,1338.0,1020.0,Nascent,Cytoplasm,2,23
122,1537.0,548.0,Nascent,Cytoplasm,1,23
123,1301.0,605.0,Nascent,Cytoplasm,2,23
124,1273.0,689.0,Nascent,Cytoplasm,2,23
125,1273.0,692.0,Nascent,Cytoplasm,2,23
126,1337.0,740.0,Nascent,Nucleus,2,23
127,1270.0,795.0,Nascent,Nucleus,2,23
128,1421.0,809.0,Nascent,Nucleus,2,23
129,1421.0,809.0,Nascent,Nucleus,2,23
130,1261.0,821.0,Nascent,Nucleus,2,23
131,1348.0,861.0,Nascent,Nucleus,2,23
132,1354.0,874.0,Nascent,Nucleus,2,23
133,1340.0,881.0,Nascent,Nucleus,2,23
134,1320.0,919.0,Nascent,Cytoplasm,2,23
135,1257.0,959.0,Nascent,Cytoplasm,2,23
136,1336.0,976.0,Nascent,Cytoplasm,2,23
