,x,y,type,region,cell,frame
0,962.0,160.0,Nascent,Cytoplasm,1,0
1,928.0,272.0,Nascent,Nucleus,1,0
2,811.0,389.0,Nascent,Cytoplasm,1,0
3,1259.0,393.0,Nascent,Cytoplasm,2,0
4,1295.0,411.0,Nascent,Cytoplasm,2,0
5,1113.0,417.0,Nascent,Cytoplasm,2,0
6,1206.0,422.0,Nascent,Cytoplasm,2,0
7,989.0,426.0,Nascent,Cytoplasm,1,0
8,803.0,429.0,Nascent,Cytoplasm,1,0
9,1260.0,450.0,Nascent,Cytoplasm,2,0
10,1426.0,458.0,Nascent,Cytoplasm,2,0
11,1231.0,459.0,Nascent,Cytoplasm,2,0
12,1241.0,462.0,Nascent,Cytoplasm,2,0
13,1290.0,464.0,Nascent,Nucleus,2,0
14,865.0,465.0,Nascent,Cytoplasm,1,0
15,1273.0,469.0,Nascent,Cytoplasm,2,0
16,1248.0,472.0,Nascent,Cytoplasm,2,0
17,1133.0,479.0,Nascent,Cytoplasm,2,0
18,1154.0,479.0,Nascent,Cytoplasm,2,0
19,1149.0,492.0,Nascent,Cytoplasm,2,0
20,1339.0,492.0,Nascent,Nucleus,2,0
21,1450.0,494.0,Nascent,Cytoplasm,2,0
22,1204.0,497.0,Nascent,Cytoplasm,2,0
23,1305.0,499.0,Nascent,Nucleus,2,0
24,1432.0,506.0,Nascent,Cytoplasm,2,0
25,1413.0,514.0,Nascent,Cytoplasm,2,0
26,1362.0,522.0,Nascent,Nucleus,2,0
27,1435.0,524.0,Nascent,Cytoplasm,2,0
28,1418.0,529.0,Nascent,Cytoplasm,2,0
29,1366.0,531.0,Nascent,Nucleus,2,0
30,1284.0,536.0,Nascent,Nucleus,2,0
31,1420.0,536.0,Nascent,Cytoplasm,2,0
32,1316.0,544.0,Nascent,Nucleus,2,0
33,1332.0,548.0,Nascent,Nucleus,2,0
34,1295.0,551.0,Nascent,Cytoplasm,2,0
35,1340.0,551.0,Nascent,Nucleus,2,0
36,1512.0,563.0,Nascent,Cytoplasm,2,0
37,1319.0,584.0,Nascent,Cytoplasm,2,0
38,263.0,593.0,Nascent,Nucleus,3,0
39,452.0,641.0,Nascent,Cytoplasm,3,0
40,352.0,678.0,Nascent,Nucleus,3,0
41,1538.0,698.0,Nascent,Cytoplasm,4,0
42,304.0,710.0,Nascent,Nucleus,3,0
43,1531.0,725.0,Nascent,Cytoplasm,4,0
44,344.0,770.0,Nascent,Cytoplasm,3,0
45,341.0,795.0,Nascent,Cytoplasm,3,0
46,1599.0,805.0,Nascent,Nucleus,4,0
47,1659.0,841.0,Nascent,Nucleus,4,0
48,1485.0,849.0,Nascent,Cytoplasm,4,0
49,1442.0,864.0,Nascent,Cytoplasm,4,0
50,1557.0,863.0,Nascent,Nucleus,4,0
51,670.0,1142.0,Nascent,Cytoplasm,5,0
52,498.0,1340.0,Nascent,Nucleus,6,0
53,574.0,1351.0,Nascent,Nucleus,6,0
54,457.0,1361.0,Nascent,Nucleus,6,0
55,1321.0,1538.0,Nascent,Nucleus,7,0
56,1224.0,1597.0,Nascent,Cytoplasm,7,0
57,1329.0,1637.0,Nascent,Nucleus,7,0
58,1145.0,386.0,Nascent,Cytoplasm,2,0
59,1173.0,402.0,Nascent,Cytoplasm,2,0
60,1113.0,434.0,Nascent,Cytoplasm,2,0
61,1268.0,458.0,Nascent,Cytoplasm,2,0
62,1208.0,466.0,Nascent,Cytoplasm,2,0
63,1383.0,465.0,Nascent,Nucleus,2,0
64,1186.0,499.0,Nascent,Cytoplasm,2,0
65,1331.0,525.0,Nascent,Nucleus,2,0
66,1417.0,530.0,Nascent,Cytoplasm,2,0
67,1432.0,542.0,Nascent,Cytoplasm,2,0
68,1464.0,548.0,Nascent,Cytoplasm,2,0
69,1484.0,572.0,Nascent,Cytoplasm,2,0
70,1330.0,581.0,Nascent,Cytoplasm,2,0
71,1444.0,583.0,Nascent,Cytoplasm,2,0
72,1359.0,585.0,Nascent,Cytoplasm,2,0
73,259.0,592.0,Nascent,Nucleus,3,0
74,1656.0,829.0,Nascent,Nucleus,4,0
75,1507.0,875.0,Nascent,Cytoplasm,4,0
76,1709.0,926.0,Nascent,Cytoplasm,4,0
77,651.0,1096.0,Nascent,Nucleus,5,0
78,588.0,1126.0,Nascent,Nucleus,5,0
79,671.0,1142.0,Nascent,Cytoplasm,5,0
80,644.0,1179.0,Nascent,Cytoplasm,5,0
81,503.0,1343.0,Nascent,Nucleus,6,0
82,473.0,1399.0,Nascent,Nucleus,6,0
83,1284.0,1610.0,Nascent,Nucleus,7,0
84,1391.0,1619.0,Nascent,Nucleus,7,0
85,1328.0,410.0,Nascent,Cytoplasm,2,0
86,1267.0,465.0,Nascent,Cytoplasm,2,0
87,1264.0,466.0,Nascent,Cytoplasm,2,0
88,1266.0,467.0,Nascent,Cytoplasm,2,0
89,1269.0,475.0,Nascent,Cytoplasm,2,0
90,1277.0,519.0,Nascent,Nucleus,2,0
91,1278.0,518.0,Nascent,Nucleus,2,0
92,1277.0,521.0,Nascent,Nucleus,2,0
93,1281.0,522.0,Nascent,Nucleus,2,0
94,1277.0,519.0,Nascent,Nucleus,2,0
95,1276.0,522.0,Nascent,Nucleus,2,0
96,1254.0,526.0,Nascent,Cytoplasm,2,0
97,1469.0,532.0,Nascent,Cytoplasm,2,0
98,1488.0,546.0,Nascent,Cytoplasm,2,0
99,1487.0,545.0,Nascent,Cytoplasm,2,0
100,1379.0,568.0,Nascent,Cytoplasm,2,0
101,1320.0,577.0,Nascent,Cytoplasm,2,0
102,1341.0,585.0,Nascent,Cytoplasm,2,0
103,1342.0,584.0,Nascent,Cytoplasm,2,0
104,257.0,599.0,Nascent,Nucleus,3,0
105,260.0,601.0,Nascent,Nucleus,3,0
106,260.0,599.0,Nascent,Nucleus,3,0
107,261.0,653.0,Nascent,Nucleus,3,0
108,261.0,653.0,Nascent,Nucleus,3,0
109,251.0,658.0,Nascent,Nucleus,3,0
110,249.0,660.0,Nascent,Nucleus,3,0
111,252.0,660.0,Nascent,Nucleus,3,0
112,375.0,662.0,Nascent,Nucleus,3,0
113,375.0,662.0,Nascent,Nucleus,3,0
114,249.0,665.0,Nascent,Nucleus,3,0
115,248.0,664.0,Nascent,Nucleus,3,0
116,274.0,688.0,Nascent,Nucleus,3,0
117,273.0,689.0,Nascent,Nucleus,3,0
118,385.0,696.0,Mature,Cytoplasm,3,0
119,388.0,697.0,Mature,Cytoplasm,3,0
120,385.0,695.0,Mature,Nucleus,3,0
121,388.0,696.0,Mature,Cytoplasm,3,0
122,382.0,693.0,Mature,Nucleus,3,0
123,384.0,691.0,Mature,Nucleus,3,0
124,388.0,692.0,Mature,Cytoplasm,3,0
125,386.0,697.0,Mature,Cytoplasm,3,0
