,x,y,type,region,cell,frame
0,661.0,285.0,Nascent,Cytoplasm,1,0
1,465.0,1041.0,Nascent,Cytoplasm,2,0
2,518.0,1071.0,Nascent,Nucleus,2,0
3,512.0,1117.0,Nascent,Nucleus,2,0
4,395.0,427.0,Nascent,Nucleus,1,1
5,342.0,457.0,Nascent,Cytoplasm,1,1
6,386.0,463.0,Nascent,Nucleus,1,1
7,379.0,489.0,Nascent,Nucleus,1,1
8,439.0,492.0,Nascent,Nucleus,1,1
9,479.0,493.0,Nascent,Nucleus,1,1
10,415.0,515.0,Nascent,Nucleus,1,1
11,1476.0,569.0,Nascent,Cytoplasm,2,1
12,1543.0,642.0,Nascent,Nucleus,2,1
13,1414.0,664.0,Nascent,Cytoplasm,2,1
14,1445.0,701.0,Nascent,Cytoplasm,2,1
15,1384.0,735.0,Nascent,Cytoplasm,2,1
16,1384.0,749.0,Nascent,Cytoplasm,2,1
17,1425.0,754.0,Nascent,Cytoplasm,2,1
18,254.0,762.0,Nascent,Nucleus,3,1
19,407.0,768.0,Nascent,Nucleus,3,1
20,290.0,769.0,Nascent,Nucleus,3,1
21,284.0,776.0,Nascent,Nucleus,3,1
22,313.0,783.0,Nascent,Nucleus,3,1
23,1517.0,790.0,Nascent,Cytoplasm,2,1
24,385.0,841.0,Nascent,Nucleus,3,1
25,233.0,841.0,Nascent,Cytoplasm,3,1
26,260.0,1299.0,Nascent,Nucleus,4,1
27,310.0,1602.0,Nascent,Nucleus,5,1
28,320.0,1664.0,Nascent,Nucleus,5,1
29,230.0,1683.0,Nascent,Nucleus,5,1
30,388.0,438.0,Nascent,Nucleus,1,1
31,423.0,454.0,Nascent,Nucleus,1,1
32,1571.0,539.0,Nascent,Nucleus,2,1
33,1506.0,635.0,Nascent,Nucleus,2,1
34,313.0,740.0,Nascent,Nucleus,3,1
35,255.0,763.0,Nascent,Nucleus,3,1
36,343.0,844.0,Nascent,Nucleus,3,1
37,302.0,1678.0,Nascent,Nucleus,5,1
38,386.0,434.0,Nascent,Nucleus,1,1
39,386.0,434.0,Nascent,Nucleus,1,1
40,387.0,434.0,Nascent,Nucleus,1,1
41,463.0,506.0,Nascent,Nucleus,1,1
42,526.0,536.0,Nascent,Nucleus,1,1
43,527.0,537.0,Nascent,Nucleus,1,1
44,1604.0,552.0,Nascent,Nucleus,2,1
45,515.0,563.0,Nascent,Nucleus,1,1
46,1552.0,631.0,Nascent,Nucleus,2,1
47,295.0,726.0,Nascent,Nucleus,3,1
48,266.0,771.0,Nascent,Nucleus,3,1
49,263.0,1322.0,Nascent,Nucleus,4,1
50,447.0,844.0,Nascent,Nucleus,2,3
51,311.0,942.0,Nascent,Cytoplasm,2,3
52,465.0,1130.0,Nascent,Nucleus,1,3
53,524.0,1132.0,Nascent,Cytoplasm,1,3
54,394.0,1138.0,Nascent,Cytoplasm,1,3
55,439.0,1163.0,Nascent,Nucleus,1,3
56,394.0,1209.0,Nascent,Nucleus,1,3
57,442.0,1244.0,Nascent,Nucleus,1,3
58,519.0,1259.0,Nascent,Cytoplasm,1,3
59,393.0,1307.0,Nascent,Nucleus,1,3
60,471.0,1121.0,Nascent,Nucleus,1,3
61,470.0,1120.0,Nascent,Nucleus,1,3
62,486.0,1164.0,Nascent,Nucleus,1,3
63,410.0,1179.0,Nascent,Nucleus,1,3
64,410.0,1179.0,Nascent,Nucleus,1,3
65,393.0,1247.0,Nascent,Nucleus,1,3
66,393.0,1248.0,Nascent,Nucleus,1,3
67,351.0,1268.0,Nascent,Nucleus,1,3
68,352.0,1269.0,Nascent,Nucleus,1,3
69,316.0,1176.0,Nascent,Cytoplasm,1,4
70,373.0,1194.0,Nascent,Cytoplasm,1,4
71,198.0,1292.0,Nascent,Nucleus,1,4
