,x,y,type,region,cell,frame
0,1360.0,538.0,Nascent,Nucleus,3,1
1,959.0,587.0,Nascent,Nucleus,2,1
2,1323.0,592.0,Nascent,Nucleus,3,1
3,1382.0,655.0,Nascent,Nucleus,3,1
4,1127.0,837.0,Nascent,Nucleus,4,1
5,1016.0,498.0,Nascent,Nucleus,2,1
6,1254.0,512.0,Nascent,Cytoplasm,3,1
7,1050.0,805.0,Nascent,Nucleus,4,1
8,1078.0,838.0,Nascent,Cytoplasm,4,1
9,1333.0,515.0,Nascent,Nucleus,3,1
10,960.0,587.0,Nascent,Nucleus,2,1
11,1064.0,851.0,Nascent,Nucleus,4,1
12,,,No Spots,NA,1,1
13,209.0,848.0,Nascent,Nucleus,1,2
14,152.0,851.0,Nascent,Nucleus,1,2
15,805.0,614.0,Nascent,Cytoplasm,1,3
16,794.0,645.0,Nascent,Cytoplasm,1,3
17,768.0,507.0,Nascent,Nucleus,1,3
18,766.0,508.0,Nascent,Nucleus,1,3
19,,,No Spots,NA,2,3
20,1241.0,515.0,Nascent,Cytoplasm,4,4
21,1124.0,522.0,Nascent,Cytoplasm,4,4
22,1173.0,524.0,Nascent,Cytoplasm,4,4
23,1118.0,531.0,Nascent,Cytoplasm,4,4
24,1215.0,538.0,Nascent,Cytoplasm,4,4
25,1171.0,550.0,Nascent,Cytoplasm,4,4
26,1337.0,583.0,Nascent,Cytoplasm,4,4
27,746.0,634.0,Nascent,Cytoplasm,5,4
28,1185.0,635.0,Nascent,Nucleus,4,4
29,1174.0,649.0,Nascent,Cytoplasm,4,4
30,814.0,660.0,Nascent,Nucleus,5,4
31,1170.0,671.0,Nascent,Cytoplasm,4,4
32,733.0,692.0,Nascent,Cytoplasm,5,4
33,1141.0,572.0,Nascent,Cytoplasm,4,4
34,1134.0,549.0,Nascent,Cytoplasm,4,4
35,788.0,649.0,Nascent,Nucleus,5,4
36,788.0,650.0,Nascent,Nucleus,5,4
37,786.0,650.0,Nascent,Nucleus,5,4
38,,,No Spots,NA,1,4
39,,,No Spots,NA,2,4
40,,,No Spots,NA,3,4
41,,,No Spots,NA,6,4
42,1184.0,705.0,Nascent,Cytoplasm,2,5
43,1217.0,738.0,Nascent,Nucleus,2,5
44,1159.0,727.0,Nascent,Cytoplasm,2,5
45,1544.0,1495.0,Nascent,Cytoplasm,3,5
46,1184.0,706.0,Nascent,Cytoplasm,2,5
47,1207.0,743.0,Nascent,Nucleus,2,5
48,1206.0,746.0,Nascent,Nucleus,2,5
49,1385.0,928.0,Nascent,Cytoplasm,2,5
50,1403.0,968.0,Nascent,Cytoplasm,2,5
51,,,No Spots,NA,1,5
52,767.0,555.0,Nascent,Cytoplasm,3,6
53,742.0,558.0,Nascent,Cytoplasm,3,6
54,727.0,566.0,Nascent,Cytoplasm,3,6
55,1011.0,882.0,Nascent,Cytoplasm,4,6
56,964.0,910.0,Nascent,Nucleus,4,6
57,1030.0,913.0,Nascent,Nucleus,4,6
58,741.0,535.0,Nascent,Cytoplasm,3,6
59,745.0,594.0,Nascent,Nucleus,3,6
