,x,y,type,region,cell,frame
0,783.0,296.0,Nascent,Cytoplasm,3,0
1,680.0,303.0,Nascent,Cytoplasm,3,0
2,699.0,326.0,Nascent,Cytoplasm,3,0
3,654.0,334.0,Nascent,Cytoplasm,3,0
4,729.0,350.0,Nascent,Cytoplasm,3,0
5,645.0,897.0,Nascent,Cytoplasm,1,0
6,381.0,1204.0,Nascent,Cytoplasm,2,0
7,745.0,292.0,Nascent,Cytoplasm,3,0
8,626.0,910.0,Nascent,Nucleus,1,0
9,399.0,1236.0,Nascent,Cytoplasm,2,0
10,746.0,262.0,Nascent,Cytoplasm,3,0
11,796.0,276.0,Nascent,Cytoplasm,3,0
12,732.0,505.0,Nascent,Nucleus,3,0
13,643.0,834.0,Nascent,Cytoplasm,1,0
14,644.0,836.0,Nascent,Cytoplasm,1,0
15,625.0,898.0,Nascent,Nucleus,1,0
16,624.0,892.0,Nascent,Nucleus,1,0
17,621.0,898.0,Nascent,Nucleus,1,0
18,561.0,1260.0,Nascent,Nucleus,2,0
19,561.0,1260.0,Nascent,Nucleus,2,0
20,,,No Spots,NA,4,0
21,1008.0,729.0,Nascent,Cytoplasm,2,1
22,936.0,748.0,Nascent,Cytoplasm,2,1
23,962.0,750.0,Nascent,Nucleus,2,1
24,1014.0,753.0,Nascent,Cytoplasm,2,1
25,965.0,763.0,Nascent,Nucleus,2,1
26,991.0,762.0,Nascent,Cytoplasm,2,1
27,959.0,765.0,Nascent,Nucleus,2,1
28,940.0,768.0,Nascent,Nucleus,2,1
29,950.0,768.0,Nascent,Nucleus,2,1
30,955.0,850.0,Nascent,Cytoplasm,2,1
31,1171.0,1271.0,Nascent,Cytoplasm,3,1
32,1234.0,1274.0,Nascent,Cytoplasm,3,1
33,1210.0,1279.0,Nascent,Cytoplasm,3,1
34,991.0,763.0,Nascent,Cytoplasm,2,1
35,1028.0,727.0,Nascent,Cytoplasm,2,1
36,1028.0,730.0,Nascent,Cytoplasm,2,1
37,936.0,749.0,Nascent,Cytoplasm,2,1
38,978.0,758.0,Nascent,Nucleus,2,1
39,974.0,757.0,Nascent,Nucleus,2,1
40,975.0,761.0,Nascent,Nucleus,2,1
41,965.0,764.0,Nascent,Nucleus,2,1
42,943.0,767.0,Nascent,Nucleus,2,1
43,950.0,769.0,Nascent,Nucleus,2,1
44,905.0,790.0,Nascent,Nucleus,2,1
45,696.0,1614.0,Nascent,Nucleus,5,1
46,562.0,1665.0,Nascent,Nucleus,5,1
47,,,No Spots,NA,1,1
