,x,y,type,region,cell,frame
0,1058.0,254.0,Nascent,Cytoplasm,2,0
1,1037.0,307.0,Nascent,Nucleus,2,0
2,1060.0,313.0,Nascent,Cytoplasm,2,0
3,593.0,321.0,Nascent,Cytoplasm,1,0
4,1069.0,339.0,Nascent,Cytoplasm,2,0
5,1021.0,348.0,Nascent,Nucleus,2,0
6,1071.0,353.0,Nascent,Cytoplasm,2,0
7,1472.0,1422.0,Nascent,Cytoplasm,4,0
8,1392.0,1432.0,Nascent,Cytoplasm,4,0
9,1467.0,1435.0,Nascent,Nucleus,4,0
10,1428.0,1442.0,Nascent,Cytoplasm,4,0
11,485.0,1449.0,Nascent,Cytoplasm,5,0
12,1423.0,1542.0,Nascent,Cytoplasm,4,0
13,1468.0,1550.0,Nascent,Cytoplasm,4,0
14,1608.0,1590.0,Nascent,Cytoplasm,4,0
15,1505.0,1596.0,Nascent,Cytoplasm,4,0
16,1535.0,1607.0,Nascent,Cytoplasm,4,0
17,1049.0,238.0,Mature,Cytoplasm,2,0
18,1046.0,237.0,Mature,Cytoplasm,2,0
19,1045.0,247.0,Mature,Cytoplasm,2,0
20,1046.0,248.0,Mature,Cytoplasm,2,0
21,1045.0,244.0,Mature,Cytoplasm,2,0
22,1049.0,245.0,Mature,Cytoplasm,2,0
23,1039.0,246.0,Mature,Cytoplasm,2,0
24,1059.0,265.0,Nascent,Cytoplasm,2,0
25,597.0,265.0,Nascent,Cytoplasm,1,0
26,1064.0,266.0,Nascent,Cytoplasm,2,0
27,1037.0,295.0,Nascent,Nucleus,2,0
28,1035.0,297.0,Nascent,Nucleus,2,0
29,1037.0,295.0,Nascent,Nucleus,2,0
30,1063.0,367.0,Nascent,Cytoplasm,2,0
31,,,No Spots,NA,3,0
32,1086.0,436.0,Nascent,Cytoplasm,1,1
33,1196.0,472.0,Nascent,Cytoplasm,1,1
34,1214.0,522.0,Nascent,Cytoplasm,1,1
35,1228.0,568.0,Nascent,Cytoplasm,1,1
36,1233.0,579.0,Nascent,Cytoplasm,1,1
37,1080.0,593.0,Nascent,Nucleus,1,1
38,1145.0,650.0,Nascent,Nucleus,1,1
39,1191.0,689.0,Nascent,Nucleus,1,1
40,1273.0,699.0,Nascent,Cytoplasm,1,1
41,1081.0,711.0,Nascent,Cytoplasm,1,1
42,1095.0,727.0,Nascent,Cytoplasm,1,1
43,1028.0,748.0,Nascent,Cytoplasm,1,1
44,1227.0,748.0,Nascent,Nucleus,1,1
45,1263.0,756.0,Nascent,Cytoplasm,1,1
46,1131.0,770.0,Nascent,Cytoplasm,1,1
47,1134.0,773.0,Nascent,Cytoplasm,1,1
48,1165.0,775.0,Nascent,Cytoplasm,1,1
49,1106.0,778.0,Nascent,Cytoplasm,1,1
50,1133.0,792.0,Nascent,Cytoplasm,1,1
51,1121.0,796.0,Nascent,Cytoplasm,1,1
52,1144.0,804.0,Mature,Cytoplasm,1,1
53,1206.0,804.0,Nascent,Cytoplasm,1,1
54,1236.0,815.0,Nascent,Cytoplasm,1,1
55,1233.0,824.0,Nascent,Cytoplasm,1,1
56,910.0,1094.0,Nascent,Cytoplasm,3,1
57,880.0,1112.0,Nascent,Cytoplasm,3,1
58,913.0,1141.0,Nascent,Cytoplasm,3,1
59,942.0,1150.0,Nascent,Cytoplasm,3,1
60,1028.0,1182.0,Nascent,Nucleus,3,1
61,1411.0,1636.0,Nascent,Cytoplasm,2,1
62,1428.0,1674.0,Nascent,Cytoplasm,2,1
63,1217.0,528.0,Nascent,Cytoplasm,1,1
64,1152.0,533.0,Nascent,Nucleus,1,1
65,1210.0,544.0,Nascent,Cytoplasm,1,1
66,1212.0,559.0,Nascent,Nucleus,1,1
67,1228.0,569.0,Nascent,Cytoplasm,1,1
68,1081.0,592.0,Nascent,Nucleus,1,1
69,1191.0,660.0,Nascent,Nucleus,1,1
70,1096.0,727.0,Nascent,Cytoplasm,1,1
71,1108.0,745.0,Nascent,Cytoplasm,1,1
72,1150.0,747.0,Nascent,Nucleus,1,1
73,1115.0,765.0,Nascent,Cytoplasm,1,1
74,1122.0,792.0,Nascent,Cytoplasm,1,1
75,1225.0,800.0,Nascent,Cytoplasm,1,1
