,x,y,type,region,cell,frame
0,1662.0,757.0,Nascent,Nucleus,1,1
1,1639.0,813.0,Nascent,Nucleus,1,1
2,1599.0,822.0,Nascent,Cytoplasm,1,1
3,1153.0,1166.0,Nascent,Cytoplasm,1,3
4,1475.0,1520.0,Nascent,Cytoplasm,2,3
5,1093.0,1199.0,Nascent,Nucleus,1,3
6,1098.0,1199.0,Nascent,Nucleus,1,3
7,1246.0,1389.0,Nascent,Nucleus,1,5
8,1226.0,1452.0,Nascent,Nucleus,1,5
9,1129.0,1488.0,Nascent,Cytoplasm,1,5
10,1158.0,1277.0,Nascent,Cytoplasm,1,5
11,1219.0,1309.0,Nascent,Cytoplasm,1,5
12,1236.0,1421.0,Nascent,Nucleus,1,5
13,1192.0,1284.0,Nascent,Cytoplasm,1,5
14,1223.0,1323.0,Nascent,Nucleus,1,5
15,1214.0,1430.0,Mature,Nucleus,1,5
16,1214.0,1429.0,Mature,Nucleus,1,5
17,1214.0,1430.0,Mature,Nucleus,1,5
18,1215.0,1429.0,Mature,Nucleus,1,5
19,1213.0,1429.0,Mature,Nucleus,1,5
20,1212.0,1425.0,Mature,Nucleus,1,5
21,1215.0,1428.0,Mature,Nucleus,1,5
22,932.0,827.0,Nascent,Cytoplasm,1,8
23,930.0,908.0,Nascent,Nucleus,1,8
24,901.0,910.0,Nascent,Nucleus,1,8
25,945.0,938.0,Nascent,Cytoplasm,1,8
26,845.0,950.0,Nascent,Nucleus,1,8
27,688.0,968.0,Nascent,Cytoplasm,1,8
28,829.0,987.0,Nascent,Cytoplasm,1,8
29,968.0,1416.0,Nascent,Cytoplasm,2,8
30,720.0,1576.0,Nascent,Cytoplasm,2,8
31,770.0,799.0,Nascent,Cytoplasm,1,8
32,825.0,828.0,Nascent,Cytoplasm,1,8
33,911.0,918.0,Nascent,Nucleus,1,8
34,794.0,1522.0,Nascent,Cytoplasm,2,8
35,963.0,1627.0,Nascent,Cytoplasm,2,8
36,845.0,1640.0,Nascent,Nucleus,2,8
37,947.0,1651.0,Nascent,Cytoplasm,2,8
38,955.0,1703.0,Nascent,Cytoplasm,2,8
39,1308.0,599.0,Nascent,Nucleus,2,11
40,1344.0,647.0,Nascent,Nucleus,2,11
41,1509.0,672.0,Nascent,Cytoplasm,2,11
42,1435.0,713.0,Nascent,Cytoplasm,2,11
43,1420.0,721.0,Nascent,Cytoplasm,2,11
44,1453.0,581.0,Nascent,Nucleus,2,11
45,1400.0,586.0,Nascent,Nucleus,2,11
46,1411.0,539.0,Nascent,Nucleus,2,11
47,1439.0,675.0,Nascent,Nucleus,2,11
48,1443.0,675.0,Nascent,Nucleus,2,11
