,x,y,type,region,cell,frame
0,1149.0,215.0,Nascent,Cytoplasm,1,0
1,1243.0,221.0,Nascent,Cytoplasm,1,0
2,1189.0,222.0,Nascent,Cytoplasm,1,0
3,1244.0,229.0,Nascent,Cytoplasm,1,0
4,1325.0,250.0,Nascent,Cytoplasm,1,0
5,1354.0,256.0,Nascent,Cytoplasm,1,0
6,1072.0,258.0,Nascent,Cytoplasm,1,0
7,1048.0,276.0,Nascent,Cytoplasm,1,0
8,996.0,286.0,Nascent,Cytoplasm,1,0
9,1349.0,287.0,Nascent,Cytoplasm,1,0
10,1304.0,305.0,Nascent,Cytoplasm,1,0
11,1096.0,306.0,Nascent,Nucleus,1,0
12,1289.0,321.0,Nascent,Cytoplasm,1,0
13,1073.0,326.0,Nascent,Cytoplasm,1,0
14,1087.0,339.0,Nascent,Cytoplasm,1,0
15,1197.0,361.0,Nascent,Nucleus,1,0
16,1273.0,392.0,Nascent,Cytoplasm,1,0
17,1136.0,426.0,Nascent,Cytoplasm,1,0
18,1061.0,438.0,Nascent,Cytoplasm,1,0
19,1365.0,962.0,Nascent,Cytoplasm,2,0
20,1315.0,1002.0,Nascent,Cytoplasm,2,0
21,1480.0,1085.0,Nascent,Cytoplasm,2,0
22,1393.0,1095.0,Nascent,Cytoplasm,2,0
23,1438.0,1129.0,Nascent,Cytoplasm,2,0
24,1443.0,1139.0,Nascent,Cytoplasm,2,0
25,1251.0,1146.0,Nascent,Nucleus,2,0
26,1431.0,1164.0,Nascent,Cytoplasm,2,0
27,1395.0,1179.0,Nascent,Nucleus,2,0
28,1215.0,1181.0,Nascent,Cytoplasm,2,0
29,1391.0,1194.0,Nascent,Nucleus,2,0
30,1434.0,1201.0,Nascent,Cytoplasm,2,0
31,1290.0,1247.0,Nascent,Nucleus,2,0
32,1150.0,215.0,Nascent,Cytoplasm,1,0
33,1056.0,263.0,Nascent,Cytoplasm,1,0
34,1219.0,267.0,Nascent,Nucleus,1,0
35,1175.0,288.0,Nascent,Nucleus,1,0
36,1305.0,305.0,Nascent,Cytoplasm,1,0
37,1071.0,326.0,Nascent,Cytoplasm,1,0
38,1241.0,352.0,Nascent,Nucleus,1,0
39,1180.0,403.0,Nascent,Cytoplasm,1,0
40,1095.0,471.0,Nascent,Cytoplasm,1,0
41,1408.0,1120.0,Nascent,Cytoplasm,2,0
42,1242.0,216.0,Nascent,Cytoplasm,1,0
43,1198.0,236.0,Nascent,Nucleus,1,0
44,1073.0,258.0,Nascent,Cytoplasm,1,0
45,997.0,287.0,Nascent,Cytoplasm,1,0
46,1169.0,302.0,Nascent,Nucleus,1,0
47,1057.0,311.0,Nascent,Cytoplasm,1,0
48,1035.0,322.0,Nascent,Cytoplasm,1,0
49,1035.0,322.0,Nascent,Cytoplasm,1,0
50,1068.0,330.0,Nascent,Cytoplasm,1,0
51,1066.0,337.0,Nascent,Cytoplasm,1,0
52,1261.0,339.0,Nascent,Nucleus,1,0
53,1263.0,340.0,Nascent,Nucleus,1,0
54,1301.0,365.0,Nascent,Cytoplasm,1,0
55,1094.0,388.0,Nascent,Cytoplasm,1,0
56,1081.0,414.0,Nascent,Cytoplasm,1,0
57,1038.0,416.0,Nascent,Cytoplasm,1,0
58,1434.0,1080.0,Nascent,Cytoplasm,2,0
59,1435.0,1081.0,Nascent,Cytoplasm,2,0
60,1367.0,1120.0,Nascent,Cytoplasm,2,0
61,1367.0,1121.0,Nascent,Cytoplasm,2,0
62,1227.0,1136.0,Nascent,Cytoplasm,2,0
63,1392.0,1151.0,Nascent,Cytoplasm,2,0
64,1242.0,1210.0,Nascent,Nucleus,2,0
65,1242.0,1210.0,Nascent,Nucleus,2,0
66,1300.0,1218.0,Nascent,Nucleus,2,0
67,1411.0,1230.0,Nascent,Cytoplasm,2,0
68,1411.0,1228.0,Nascent,Cytoplasm,2,0
69,1372.0,1261.0,Nascent,Nucleus,2,0
70,1371.0,1262.0,Nascent,Nucleus,2,0
71,865.0,188.0,Nascent,Nucleus,2,1
72,792.0,242.0,Nascent,Cytoplasm,2,1
73,787.0,248.0,Nascent,Cytoplasm,2,1
74,875.0,275.0,Nascent,Nucleus,2,1
75,744.0,291.0,Nascent,Cytoplasm,2,1
76,772.0,295.0,Nascent,Cytoplasm,2,1
77,813.0,296.0,Nascent,Nucleus,2,1
78,840.0,298.0,Nascent,Nucleus,2,1
79,887.0,309.0,Nascent,Nucleus,2,1
80,776.0,323.0,Nascent,Cytoplasm,2,1
81,803.0,325.0,Nascent,Cytoplasm,2,1
82,805.0,330.0,Nascent,Cytoplasm,2,1
83,820.0,342.0,Nascent,Cytoplasm,2,1
84,776.0,350.0,Nascent,Cytoplasm,2,1
85,738.0,357.0,Nascent,Cytoplasm,2,1
86,851.0,360.0,Nascent,Cytoplasm,2,1
87,755.0,380.0,Nascent,Cytoplasm,2,1
88,641.0,496.0,Nascent,Cytoplasm,2,1
89,1293.0,955.0,Nascent,Cytoplasm,3,1
90,1273.0,971.0,Nascent,Cytoplasm,3,1
91,1261.0,972.0,Nascent,Cytoplasm,3,1
92,1295.0,1004.0,Nascent,Cytoplasm,3,1
93,1249.0,1075.0,Nascent,Cytoplasm,3,1
94,1262.0,1135.0,Nascent,Nucleus,3,1
95,1173.0,1137.0,Nascent,Cytoplasm,3,1
96,1311.0,1154.0,Nascent,Nucleus,3,1
97,1156.0,1157.0,Nascent,Cytoplasm,3,1
98,1314.0,1168.0,Nascent,Nucleus,3,1
99,1220.0,1168.0,Nascent,Nucleus,3,1
100,1204.0,1175.0,Nascent,Nucleus,3,1
101,1329.0,1190.0,Nascent,Cytoplasm,3,1
102,1202.0,1193.0,Nascent,Nucleus,3,1
103,1310.0,1202.0,Nascent,Nucleus,3,1
104,1296.0,1207.0,Nascent,Nucleus,3,1
105,1107.0,1229.0,Nascent,Cytoplasm,3,1
106,1192.0,1245.0,Nascent,Nucleus,3,1
107,1241.0,1256.0,Nascent,Nucleus,3,1
108,1179.0,1257.0,Nascent,Nucleus,3,1
109,1247.0,1266.0,Mature,Nucleus,3,1
110,1283.0,1288.0,Nascent,Cytoplasm,3,1
111,1172.0,1293.0,Nascent,Nucleus,3,1
112,1179.0,1304.0,Nascent,Nucleus,3,1
113,1251.0,1305.0,Nascent,Nucleus,3,1
114,1238.0,1312.0,Nascent,Nucleus,3,1
115,1253.0,1315.0,Nascent,Cytoplasm,3,1
116,1193.0,1317.0,Nascent,Nucleus,3,1
117,1251.0,1321.0,Nascent,Cytoplasm,3,1
118,1200.0,1327.0,Nascent,Cytoplasm,3,1
119,1238.0,1337.0,Nascent,Cytoplasm,3,1
120,1145.0,1338.0,Nascent,Cytoplasm,3,1
121,1230.0,1339.0,Nascent,Cytoplasm,3,1
122,1146.0,1356.0,Nascent,Cytoplasm,3,1
123,1158.0,1370.0,Nascent,Cytoplasm,3,1
124,1227.0,1384.0,Nascent,Cytoplasm,3,1
125,1186.0,1389.0,Nascent,Cytoplasm,3,1
126,1202.0,1389.0,Nascent,Cytoplasm,3,1
127,1151.0,1409.0,Nascent,Cytoplasm,3,1
128,1188.0,1410.0,Nascent,Cytoplasm,3,1
129,1181.0,1414.0,Nascent,Cytoplasm,3,1
130,1184.0,1422.0,Nascent,Cytoplasm,3,1
131,1207.0,1449.0,Nascent,Cytoplasm,3,1
132,1732.0,1483.0,Nascent,Cytoplasm,1,1
133,1460.0,1525.0,Nascent,Cytoplasm,1,1
134,1587.0,1531.0,Nascent,Nucleus,1,1
135,1673.0,1544.0,Nascent,Cytoplasm,1,1
136,1598.0,1615.0,Nascent,Cytoplasm,1,1
137,858.0,206.0,Nascent,Nucleus,2,1
138,863.0,235.0,Nascent,Nucleus,2,1
139,941.0,260.0,Nascent,Nucleus,2,1
140,756.0,290.0,Nascent,Cytoplasm,2,1
141,841.0,299.0,Nascent,Nucleus,2,1
142,892.0,320.0,Nascent,Nucleus,2,1
143,847.0,333.0,Nascent,Nucleus,2,1
144,888.0,352.0,Nascent,Nucleus,2,1
145,1323.0,971.0,Nascent,Cytoplasm,3,1
