Time,mRNA_Mean,mRNA_StdDev
0.0,0.0,0.0
0.24242424242424243,2.08,1.3068110429747741
0.48484848484848486,2.54,1.3733617327490935
0.7272727272727273,2.84,1.6457738084473905
0.9696969696969697,2.82,1.320018552745315
1.2121212121212122,3.1,1.7525491637693278
1.4545454545454546,3.0,1.6781914463529615
1.696969696969697,3.22,2.0232324107119037
1.9393939393939394,3.46,1.6685567514031587
2.1818181818181817,3.36,1.9247051192113487
2.4242424242424243,2.98,1.6962142721787414
2.6666666666666665,2.8,1.6035674514745462
2.909090909090909,2.88,1.7218879055222127
3.1515151515151514,2.98,1.789880853405543
3.393939393939394,3.0,1.4982983545287878
3.6363636363636362,2.66,1.4792441533790563
3.878787878787879,2.96,1.7952317797034292
4.121212121212121,3.16,2.063877863812365
4.363636363636363,3.16,1.7997732283455572
4.606060606060606,3.26,1.5754494013856906
4.848484848484849,3.5,1.8098370656171323
5.090909090909091,3.84,1.833475566529651
5.333333333333333,3.6,1.7728105208558367
5.575757575757576,3.22,1.632451518172492
5.818181818181818,3.18,1.8035113144154349
6.0606060606060606,3.42,1.7967090096357072
6.303030303030303,3.58,1.7272131617500048
6.545454545454546,3.4,2.2038926600773587
6.787878787878788,3.12,1.9127925946646909
7.03030303030303,3.32,1.6835336985892846
7.2727272727272725,3.1,1.9086270308410556
7.515151515151516,3.48,1.6566501730656256
7.757575757575758,3.22,1.7761457928759734
8.0,3.78,2.1313021793241416
8.242424242424242,3.54,2.0224252969226457
8.484848484848484,3.72,1.841028993552801
8.727272727272727,3.4,1.9897697538834453
8.969696969696969,3.24,1.890470193105516
9.212121212121213,3.4,2.080031396937291
9.454545454545455,2.96,1.806563995375684
9.696969696969697,3.0,2.040408122440814
9.93939393939394,3.34,1.6364471221745809
10.181818181818182,3.18,1.8260026599886738
10.424242424242424,3.36,1.859997805572548
10.666666666666666,3.34,1.7096365528547701
10.909090909090908,3.42,2.000918156594056
11.151515151515152,3.38,1.9988772358705855
11.393939393939394,3.52,2.2789184688696307
11.636363636363637,3.68,2.325019201149592
11.878787878787879,3.1,1.8098370656171325
12.121212121212121,2.9,1.7408653724219918
12.363636363636363,3.2,1.958758457257441
12.606060606060606,3.1,1.8098370656171323
12.848484848484848,3.36,1.600510122761247
13.090909090909092,3.14,1.7958000888694907
13.333333333333334,3.68,2.2537044334760017
13.575757575757576,3.4,2.050385727772475
13.818181818181818,3.46,2.0820907859208075
14.06060606060606,3.58,2.0312859102006273
14.303030303030303,3.54,1.7403963892851353
14.545454545454545,3.26,1.7356995884151412
14.787878787878787,3.04,1.6531972733130778
15.030303030303031,2.96,1.665496187633105
15.272727272727273,2.8,1.577908716741037
15.515151515151516,2.94,1.658743069745454
15.757575757575758,2.96,1.5512996526283682
16.0,2.66,1.6612019253343926
16.242424242424242,3.36,1.7700455430552617
16.484848484848484,3.48,1.8761663039293717
16.727272727272727,3.64,2.0579363548993275
16.96969696969697,3.6,1.905952009160905
17.21212121212121,3.72,2.2949812146312234
17.454545454545453,3.38,1.5503784923004305
17.696969696969695,3.54,1.7286304594406872
17.939393939393938,3.12,1.5732457026212803
18.181818181818183,3.32,1.6217903938649574
18.424242424242426,3.18,1.734288067779057
18.666666666666668,3.14,1.8295756171242303
18.90909090909091,3.58,1.7967090096357068
19.151515151515152,3.6,1.7379321515137764
19.393939393939394,3.24,1.597957880469664
19.636363636363637,3.14,1.6661087501561647
19.87878787878788,3.38,1.9680094574187883
20.12121212121212,3.68,2.034799293115983
20.363636363636363,3.52,1.7984119979264246
20.606060606060606,3.48,2.0024474820497407
20.848484848484848,3.54,1.8649287342076823
21.09090909090909,3.78,1.8983343934585797
21.333333333333332,3.56,1.928941763384943
21.575757575757574,3.0,2.0503857277724746
21.818181818181817,2.68,1.8232064152621503
22.060606060606062,2.86,1.9484164161216264
22.303030303030305,3.18,2.057242061100051
22.545454545454547,3.28,1.8630674727886978
22.78787878787879,3.26,1.7821106495801375
23.03030303030303,3.06,1.405673634720001
23.272727272727273,3.0,1.9378085666072193
23.515151515151516,3.24,1.7209394681572108
23.757575757575758,3.38,1.8614236377524795
24.0,3.34,1.7096365528547701
