cell,frame,type,count
1,0,Nascent,17
1,1,Nascent,20
1,2,Nascent,6
1,3,Nascent,22
1,3,No Spots,1
1,4,Nascent,17
1,5,Nascent,4
1,6,Nascent,3
1,6,No Spots,1
1,7,Nascent,1
1,7,No Spots,1
1,8,Nascent,3
1,9,Nascent,20
1,10,Nascent,71
1,11,Mature,36
1,11,Nascent,47
1,12,Nascent,9
1,12,Transcription Site,1
1,13,Nascent,10
1,14,Mature,496
1,14,Nascent,89
1,15,Nascent,8
1,15,No Spots,1
1,16,Nascent,43
1,17,Nascent,9
1,18,Nascent,12
1,19,Nascent,20
1,20,Mature,43
1,20,Nascent,79
1,20,Transcription Site,1
1,21,Nascent,7
1,21,No Spots,1
1,22,Nascent,43
1,23,Nascent,83
1,24,Nascent,14
1,25,Nascent,1
1,25,No Spots,1
1,26,No Spots,1
1,27,Nascent,27
1,27,No Spots,2
1,28,Mature,8
1,28,Nascent,52
1,29,Mature,7
1,29,Nascent,40
1,30,Nascent,22
1,30,No Spots,1
1,31,Nascent,4
1,31,No Spots,1
1,32,Nascent,26
1,33,Mature,461
1,33,Nascent,725
1,33,Transcription Site,55
1,34,Nascent,47
1,35,Nascent,14
1,36,Nascent,6
1,36,No Spots,1
1,37,Nascent,3
1,38,Nascent,81
1,38,Transcription Site,1
1,39,No Spots,1
1,40,Mature,7
1,40,Nascent,54
1,40,No Spots,1
1,41,Mature,8
1,41,Nascent,30
1,42,Nascent,53
1,43,Nascent,9
1,43,No Spots,1
1,44,Nascent,27
1,44,No Spots,1
1,45,Nascent,12
1,46,Nascent,40
1,47,Nascent,2
1,47,No Spots,1
1,48,Nascent,8
1,49,Nascent,4
1,50,Nascent,23
1,51,Mature,7
1,51,Nascent,10
1,52,Mature,14
1,52,Nascent,21
1,52,No Spots,1
1,53,Mature,7
1,53,Nascent,52
1,53,Transcription Site,1
1,54,Nascent,15
1,55,Mature,16
1,55,Nascent,39
1,55,No Spots,1
1,55,Transcription Site,1
1,56,Nascent,18
1,57,Nascent,35
1,58,No Spots,1
1,59,Nascent,1
1,59,No Spots,1
1,60,Nascent,21
1,61,Nascent,8
1,61,No Spots,1
1,62,Mature,405
1,62,Nascent,779
1,62,No Spots,1
1,62,Transcription Site,45
1,63,Nascent,9
1,63,No Spots,1
1,64,Nascent,32
1,64,No Spots,1
1,65,Mature,7
1,65,Nascent,35
1,66,Nascent,48
1,67,Nascent,2
1,68,Nascent,15
1,69,Nascent,5
1,70,Nascent,16
1,71,Nascent,2
1,71,No Spots,1
1,72,Nascent,4
1,72,No Spots,1
1,73,Nascent,15
1,74,Nascent,33
1,75,Nascent,37
1,76,Nascent,6
1,77,Nascent,5
1,78,Nascent,1
1,78,No Spots,1
1,79,Nascent,37
1,80,Nascent,19
1,80,No Spots,1
1,81,No Spots,1
1,82,Mature,504
1,82,Nascent,600
1,82,Transcription Site,23
1,83,Nascent,15
1,84,Nascent,18
1,85,Nascent,31
1,86,Nascent,11
1,86,No Spots,1
1,87,Nascent,31
1,88,Nascent,29
1,89,Nascent,30
1,90,Nascent,9
1,90,No Spots,2
1,91,Mature,266
1,91,Nascent,717
1,91,Transcription Site,40
1,92,Nascent,1
1,93,Nascent,3
1,94,Mature,8
1,94,Nascent,29
1,94,No Spots,1
1,94,Transcription Site,1
1,95,Nascent,3
1,96,Nascent,47
1,96,No Spots,1
1,97,No Spots,1
1,98,Mature,46
1,98,Nascent,66
1,98,Transcription Site,5
1,99,Nascent,26
2,0,Nascent,6
2,1,Nascent,24
2,2,Nascent,9
2,3,Nascent,14
2,4,Nascent,15
2,4,No Spots,1
2,5,Nascent,24
2,6,Nascent,37
2,7,Nascent,13
2,8,Nascent,7
2,9,Nascent,2
2,10,Mature,41
2,10,Nascent,41
2,11,Nascent,16
2,13,Nascent,6
2,14,Nascent,17
2,15,Nascent,22
2,16,Nascent,4
2,16,No Spots,1
2,17,Nascent,7
2,18,Nascent,29
2,18,Transcription Site,1
2,19,Nascent,5
2,20,Nascent,18
2,21,Nascent,11
2,21,No Spots,1
2,22,Nascent,94
2,22,No Spots,1
