time_min,time_hours,S,A,Ap_c,Ap_n,r,R,f,F,a,total_STAT1,total_pSTAT1
0.0,0.0,500.0,100000.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,100011.0,11.0
1.0,0.016666666666666666,490.09933665337746,26.9372009474128,98774.22838267707,1140.8506295905254,0.9707922710229778,98.51804716235507,1.0033484127857537,10.903063330739966,4.550605856116268e-8,99942.01621321501,99915.0790122676
2.0,0.03333333333333333,480.39471957616126,27.84506019677812,97566.95070095465,2278.2842530731355,0.9476638683729489,191.443134797545,1.131100600670194,21.270195392554307,1.6649732339048636e-7,99873.08001422456,99845.23495402778
3.0,0.05,470.8822667921243,28.743971797499515,96462.32228890352,3313.1251145962424,0.942104043062848,280.9983880484659,1.4581841080876154,33.76348959101561,3.708844863588846e-7,99804.19137529728,99775.44740349977
4.0,0.06666666666666667,461.5581731933179,29.635661988197235,95451.16531914088,4254.549288560675,0.9685721114017172,369.6977235837745,2.002979254619854,50.47377162980489,6.810665292084391e-7,99735.35026968976,99705.71460770156
5.0,0.08333333333333333,452.41870901797955,30.52175730535557,94525.12274934823,5110.912165988011,1.041579239360968,461.4580755571698,2.7513100454443,73.47243072867822,1.135022713520449e-6,99666.5566726416,99636.03491533623
6.0,0.1,443.46021835857846,31.40379216092823,93676.58491662209,5889.821853565262,1.173943846986881,561.4819383047231,3.6755964666950702,104.59015431654655,1.7848618743848651e-6,99597.81056234827,99566.40677018734
7.0,0.11666666666666667,434.67911769940275,32.28321522723495,92898.62269740371,6598.206008167787,1.3758838350117686,676.0135008044,4.74565799167076,145.3460240614069,2.694333911157731e-6,99529.11192079874,99496.8287055715
8.0,0.13333333333333333,426.07189448310567,33.161396679909544,92184.92664380113,7242.372693961678,1.6546846053051638,812.0402273394811,5.9335481073154845,196.95251113580022,3.936168541153705e-6,99460.4607344427,99427.2993377628
9.0,0.15,417.6351057056357,34.03963357937409,91529.75156442946,7828.06579668095,2.014740832462394,976.9874908762274,7.215171247970119,260.3505975053282,5.5896315061463355e-6,99391.85699468979,99357.81736111041
10.0,0.16666666666666666,409.3653765389906,34.91915596337294,90927.86606043675,8360.515481860348,2.4578202211891242,1178.435478328735,8.570433737485214,336.2522886920106,7.738427499515039e-6,99323.30069826047,99288.3815422971
11.0,0.18333333333333332,401.2593989812386,35.801132224875104,90374.50657491687,8844.484140270899,2.9834402939737394,1423.8741716714735,9.982831340023644,425.18090103416074,1.0468959158105935e-5,99254.79184741265,99218.99071518777
12.0,0.2,393.3139305332761,36.68667409468302,89865.3355518088,9284.308224161894,3.589284236053986,1720.502911916641,11.43888522963602,527.5058758087383,1.3868905360370344e-5,99186.33045006539,99149.6437759707
13.0,0.21666666666666667,385.5257929017825,37.576841756719865,89396.40333626707,9683.936341815124,4.27160893915512,2075.0750102369702,12.927594427797269,643.4716371161664,1.8026069882611074e-5,99117.91651983891,99080.3396780822
14.0,0.23333333333333334,377.89187072786217,38.47264981544462,88964.11348116478,10046.96394504758,5.02561828043033,2493.7842655640175,14.439961822375505,773.2210593190475,2.3027453127301026e-5,99049.55007602781,99011.07742621236
15.0,0.25,370.40911034085815,39.375072480968115,88565.19115667243,10376.664914366303,5.845788481766681,2982.1883713018706,15.96860411570119,916.8144045445933,2.8958505977380274e-5,98981.2311435197,98941.85607103874
16.0,0.26666666666666666,363.07451853684466,40.285051102200214,88196.65438234621,10676.020319222218,6.726141425560957,3545.1634733589485,17.50743841079307,1074.2445819012257,3.5902531978994625e-5,98912.95975267063,98872.67470156844
17.0,0.2833333333333333,355.88516138130416,41.20350364952958,87855.78782950819,10947.74460598776,7.660467304133393,4186.884144636516,19.05143303739124,1245.4494672233598,4.394021055873647e-5,98844.73593914548,98803.53243549594
18.0,0.3,348.83816303551487,42.13133666411803,87540.11896338913,11194.309443677836,8.642501010789022,4910.823458183248,20.596410123137282,1430.3218885799486,5.3149219425754085e-5,98776.55974373108,98734.42840706697
19.0,0.31666666666666665,341.9307046061772,43.06946220024441,87247.39631308132,11417.965436846396,9.666058071466862,5719.768462712516,22.138889048536413,1628.7177598917726,6.360393869400663e-5,98708.43121212797,98665.36174992772
20.0,0.3333333333333333,335.16002301781884,44.01882097430396,86975.56967740945,11620.76189634072,10.725136278417821,6615.847055789025,23.675961925219656,1840.4627420902605,7.537522272715858e-5,98640.35039472448,98596.33157375017
21.0,0.35,328.52340990752737,44.98041378880552,86722.77209105199,11804.564841517975,11.81398894934715,7600.5629310827835,25.205194089941003,2065.3577287658004,8.853022842876045e-5,98572.31734635876,98527.33693256996
22.0,0.36666666666666664,322.0182105415698,45.955343657920835,86487.30339043844,11971.073391975118,12.927175182638381,8674.835902616287,26.724544156681613,2303.183388564264,0.00010313229083058157,98504.33212607147,98458.37678241356
23.0,0.38333333333333336,315.64182275346195,46.94487149161045,86267.61523268261,12121.834692676844,14.059591793605238,9839.045460562602,28.232299405566106,2553.703946383422,0.00011924083850327112,98436.39479685106,98389.44992535945
24.0,0.4,309.39169590306955,47.950487630583645,86062.29743428071,12258.257503464512,15.206490907837729,11093.075884146094,29.727023250002514,2816.6703466100057,0.00013691134263027076,98368.50542537581,98320.55493774523
25.0,0.4166666666666667,303.2653298563158,48.97400204245839,85870.06550753083,12381.624572179793,16.363486517012134,12436.361630221276,31.207512264064643,3091.8229116433913,0.00015619529462920531,98300.66408175309,98251.69007971062
26.0,0.43333333333333335,297.2602739850964,50.01765644718401,85689.74928287296,12493.103899938316,17.526552700365826,13867.932038190382,32.67276081884565,3378.8935857208717,0.00017714020803715678,98232.87083925847,98182.85318281128
27.0,0.45,291.37412618699386,51.084261216024515,85520.28251551173,12593.758997347544,18.692015692755607,15386.454651937753,34.121931809586926,3677.6078360030015,0.00019978964104493257,98165.12577407529,98114.04151285927
28.0,0.4666666666666667,285.6045319244066,52.17735857365851,85360.69338486729,12684.558221596679,19.85654153808796,16990.27666663009,35.55433228674242,3987.6862687795783,0.0002241832366069947,98097.42896503763,98045.25160646398
29.0,0.48333333333333334,279.94918328270006,53.301414194557566,85210.09580290486,12766.38327627559,21.01712069928725,18677.46417128325,36.96939305838188,4308.846007594193,0.00025035677749590037,98029.78049337502,97976.47907918046
30.0,0.5,274.40581804701225,54.46203945487713,85067.6814545703,12840.036948437288,22.171050694496277,20445.83898478832,38.36665152715556,4640.801871358039,0.0002783422540341697,97962.18044246247,97907.71840300759
31.0,0.5166666666666667,268.97221879733615,55.66624554859214,84932.71250128887,12906.250150737516,23.315917584673382,22293.01298042402,39.745737176541326,4983.267383600588,0.000308167942538769,97894.62889757498,97838.96265202638
32.0,0.5333333333333333,263.6462120215232,56.92272909144515,84804.51488614724,12965.688330409164,24.44957694122231,24216.41986753714,41.106359238871434,5335.95563848251,0.00033985849276650556,97827.12594564784,97770.2032165564
33.0,0.55,258.4256672458488,58.24218876737638,84682.47218497135,13018.95730130399,25.57013476557239,26213.34445384866,42.44829616966237,5698.58004476666,0.00037343502286229315,97759.67167504271,97701.42948627534
34.0,0.5666666666666667,253.3084961827942,59.63767318653829,84566.01995192273,13066.608550211264,26.67592870855005,28280.949451698605,43.771386625051754,6070.85496537057,0.0004089152204941473,97692.26617532053,97632.628502134
35.0,0.5833333333333334,248.2926518957043,61.12495887608799,84454.6405140476,13109.14406409731,27.765509839823814,30416.299919683795,45.07552169620907,6452.496267226921,0.00044631344901473977,97624.909537021,97563.78457814491
36.0,0.6,243.37612797998548,62.72295533255578,84347.85817535719,13147.020720760134,28.837625141523294,32616.38545017242,46.3606381998746,6843.221793817341,0.0004856408576242072,97557.60185144989,97494.87889611733
37.0,0.6166666666666667,238.55695776051687,64.45413352120192,84245.23479532913,13180.65428162241,29.891200841091358,34878.14022516796,47.62671286030491,7242.751770810015,0.0005269054946262322,97490.34321047274,97425.88907695154
38.0,0.6333333333333333,233.8332135049543,66.34497618105857,84146.36570817539,13210.423021960874,30.925326653046298,37198.46106960861,48.873757246862596,7650.809153638327,0.0005701124229722206,97423.13370631733,97356.78873013626
39.0,0.65,229.20300565261152,68.42644690752644,84050.87595371893,13236.671030756426,31.939240964801964,39574.22363373535,50.10181335481979,8067.119924539321,0.0006152638373789873,97355.97343138288,97287.54698447535
40.0,0.6666666666666666,224.66448205861076,70.73447246415894,83958.4167960723,13259.711209520894,32.93231697573726,42002.29683568497,51.31094973583515,8491.413345474863,0.0006623591823856787,97288.86247805736,97218.1280055932
41.0,0.6833333333333333,220.21582725299973,73.31043164504848,83868.6625100127,13279.827996885175,33.90404977948979,44479.55569277145,52.50125809992692,8923.422172442599,0.0007113952707871086,97221.80093854292,97148.49050689787
42.0,0.7,215.85526171453998,76.20164863528836,83781.30741265426,13297.279843399121,34.85404436553403,47002.89266565566,53.672850323323054,9362.882835916054,0.0007623664019446775,97154.78890468868,97078.58725605339
43.0,0.7166666666666667,211.58104115887457,79.46188684339404,83696.0631221185,13312.301458869637,35.78200450630498,49569.22763425507,54.82585580687667,9809.535591506063,0.0008152644795334073,97087.82646783153,97008.36458098814
44.0,0.7333333333333333,207.3914558407909,83.1518358269258,83612.65603018513,13325.10585263249,36.68772248952944,52175.51661820199,55.960419138235615,10263.12464438823,0.0008700791283353508,97020.91371864454,96937.76188281762
45.0,0.75,203.28482987029977,87.33958207848455,83530.8249795179,13335.886185396743,37.57106965130506,54818.7593482084,57.07669801799715,10723.398250576472,0.000926797809736301,96954.05074699312,96866.71116491464
46.0,0.7666666666666667,199.2595205422575,92.10106304776887,83450.31912904553,13344.81744970576,38.43198766321594,57496.00578806198,58.1748614159355,11190.1087977263,0.000985405935624986,96887.23764179906,96795.13657875129
47.0,0.7833333333333333,195.3139176792611,97.52050020652783,83370.8959961001,13352.057994604229,39.270480525961204,60204.36170032808,59.25508792828333,11663.012867812336,0.0010458869804322267,96820.47449091086,96722.95399070432
