time_min,time_hours,IRF1_mRNA_sim1,IRF1_protein_sim1
0.0,0.0,1.0,1.0
2.8857715430861726,0.04809619238476954,1.0,37.0
5.771543086172345,0.09619238476953908,6.0,130.0
8.657314629258517,0.14428857715430862,9.0,332.0
11.54308617234469,0.19238476953907815,10.0,598.0
14.428857715430862,0.24048096192384769,16.0,981.0
17.314629258517034,0.28857715430861725,20.0,1481.0
20.200400801603205,0.3366733466933868,24.0,2077.0
23.08617234468938,0.3847695390781563,27.0,2748.0
25.971943887775552,0.43286573146292584,33.0,3479.0
28.857715430861724,0.48096192384769537,37.0,4311.0
31.743486973947896,0.5290581162324649,38.0,5274.0
34.62925851703407,0.5771543086172345,40.0,6225.0
37.51503006012024,0.625250501002004,43.0,7260.0
40.40080160320641,0.6733466933867736,45.0,8295.0
43.28657314629258,0.7214428857715431,47.0,9331.0
46.17234468937876,0.7695390781563126,51.0,10514.0
49.05811623246493,0.8176352705410822,56.0,11763.0
51.943887775551104,0.8657314629258517,57.0,12986.0
54.829659318637276,0.9138276553106213,58.0,14237.0
57.71543086172345,0.9619238476953907,59.0,15468.0
60.60120240480962,1.0100200400801602,61.0,16731.0
63.48697394789579,1.0581162324649298,67.0,18099.0
66.37274549098197,1.1062124248496994,71.0,19599.0
69.25851703406813,1.154308617234469,77.0,21128.999999999996
72.14428857715431,1.2024048096192386,82.0,22812.000000000004
75.03006012024048,1.250501002004008,83.0,24405.0
77.91583166332666,1.2985971943887775,86.0,26070.0
80.80160320641282,1.346693386773547,94.0,27864.0
83.687374749499,1.3947895791583167,100.0,29821.0
86.57314629258516,1.4428857715430863,95.0,31758.0
89.45891783567134,1.4909819639278556,96.0,33566.3541289589
92.34468937875752,1.5390781563126252,98.0,35452.0
95.23046092184369,1.5871743486973948,95.0,37077.0
98.11623246492987,1.6352705410821644,97.0,38734.0
101.00200400801603,1.6833667334669338,98.0,40361.0
103.88777555110221,1.7314629258517034,95.0,41897.0
106.77354709418837,1.779559118236473,95.0,43306.0
109.65931863727455,1.8276553106212425,102.0,44703.0
112.54509018036072,1.8757515030060121,101.0,46333.0
115.4308617234469,1.9238476953907815,102.0,47853.11484764242
118.31663326653306,1.971943887775551,106.0,49463.0
121.20240480961924,2.0200400801603204,111.0,51196.0
124.08817635270542,2.06813627254509,116.0,52995.0
126.97394789579158,2.1162324649298596,111.0,54741.0
129.85971943887776,2.164328657314629,107.0,56249.709964605936
132.74549098196394,2.212424849699399,107.0,57705.0
135.6312625250501,2.2605210420841684,108.0,59229.0
138.51703406813627,2.308617234468938,109.0,60611.91531415715
141.40280561122245,2.3567134268537075,111.00000000000001,62122.0
144.28857715430863,2.404809619238477,102.0,63409.0
147.17434869739478,2.4529058116232463,109.0,64571.0
150.06012024048096,2.501002004008016,114.0,65867.27575766538
152.94589178356713,2.5490981963927855,111.0,67259.0
155.8316633266533,2.597194388777555,113.0,68488.0
158.7174348697395,2.6452905811623246,108.0,69724.0
161.60320641282564,2.693386773547094,108.0,70896.0
164.48897795591182,2.741482965931864,108.0,72021.0
167.374749498998,2.7895791583166334,108.0,73001.0
170.26052104208418,2.837675350701403,105.0,73956.0
173.14629258517033,2.8857715430861726,105.0,74929.0
176.0320641282565,2.9338677354709417,110.0,75700.0
178.9178356713427,2.9819639278557113,115.0,76757.0
181.80360721442887,3.030060120240481,115.0,77679.0
184.68937875751504,3.0781563126252505,117.0,78854.0
187.5751503006012,3.12625250501002,114.0,79817.0
190.46092184368737,3.1743486973947896,112.0,80658.0
193.34669338677355,3.2224448897795592,110.0,81701.0
196.23246492985973,3.270541082164329,113.0,82626.0
199.11823647294588,3.3186372745490984,117.0,83642.0
202.00400801603206,3.3667334669338675,115.0,84345.70087869144
204.88977955911824,3.414829659318637,120.0,85381.0
207.77555110220442,3.4629258517034067,121.0,86317.44990238408
210.66132264529057,3.5110220440881763,118.0,87316.0
213.54709418837675,3.559118236472946,116.0,88400.0
216.43286573146293,3.6072144288577155,107.0,89106.0
219.3186372745491,3.655310621242485,105.0,89534.0
222.20440881763528,3.7034068136272547,108.0,90015.70534200383
225.09018036072143,3.7515030060120242,108.0,90398.0
227.9759519038076,3.7995991983967934,109.0,90877.0
230.8617234468938,3.847695390781563,103.0,91480.0
233.74749498997997,3.8957915831663326,99.0,91774.0
236.63326653306612,3.943887775551102,95.0,92022.0
239.5190380761523,3.9919839679358717,96.0,92202.0
242.40480961923848,4.040080160320641,98.0,92264.0
245.29058116232466,4.0881763527054105,95.0,92327.33788590916
248.17635270541084,4.13627254509018,93.0,92436.1653136043
251.06212424849699,4.18436873747495,91.0,92442.0
253.94789579158316,4.232464929859719,87.0,92331.0
256.8336673346693,4.280561122244489,84.0,92041.0
259.7194388777555,4.328657314629258,86.0,91989.0
262.6052104208417,4.376753507014028,90.0,91841.0
265.4909819639279,4.424849699398798,90.0,91619.0
268.37675350701403,4.472945891783567,90.0,91454.0
271.2625250501002,4.521042084168337,92.0,91373.97272165104
274.1482965931864,4.569138276553106,92.0,91384.0
277.03406813627254,4.617234468937876,94.0,91377.0
279.91983967935874,4.6653306613226455,89.0,91413.31324782732
282.8056112224449,4.713426853707415,92.0,91436.0
285.69138276553105,4.761523046092185,91.0,91512.23999013576
288.57715430861725,4.809619238476954,94.0,91636.0
291.4629258517034,4.857715430861724,97.00000000000001,91724.0
294.34869739478955,4.905811623246493,100.0,91923.0
297.23446893787576,4.953907815631262,100.00000000000001,92222.0
300.1202404809619,5.002004008016032,105.0,92763.0
303.0060120240481,5.050100200400801,110.0,93268.0
