variance,timepoint,r,n_datapoints,mean,bic,nll,w,condition,converged,n_samples,aic,filename,p
0.0030947766929714307,1,0.30599931651397916,97,0.0030640946760703627,5524.120183491376,2752.2420672551866,1.8186290291180799e-9,primary,true,696,5510.484134510373,counts_1h_primary.csv,0.990085870502143
0.002632794379860444,2,0.2984408583004642,80,0.0026099692890488957,3536.075133311089,1758.907404565176,4.119452009249418e-10,primary,true,440,3523.814809130352,counts_2h_primary.csv,0.9913304696385905
0.02151189671611159,4,1.0820690741634833,137,0.021028167462143012,5486.9034240744395,2733.833984635655,0.15521631789427875,primary,true,609,5473.66796927131,counts_4h_primary.csv,0.9775134075645555
0.007011507230830047,8,0.6547628983138407,158,0.006931053281701845,4875.939795103859,2428.615343166624,0.08805836103695291,primary,true,511,4863.230686333248,counts_8h_primary.csv,0.988525441609125
0.004745083507835988,16,0.6156295896222571,175,0.004700020929884223,6760.727879800697,3370.415937234255,0.2037231955453625,primary,true,759,6746.83187446851,counts_16h_primary.csv,0.9905033119275246
0.0014258570902108427,24,0.3868736182782902,215,0.001419628630842218,7363.97950000473,3671.953486586237,0.16362749345875396,primary,true,805,7349.906973172474,counts_24h_primary.csv,0.9956317786604381
0.00015430973613622513,48,0.13007913578848673,41,0.00015412711524540577,1000.0977237701863,492.69094971743556,3.504003327978503e-11,primary,true,135,991.3818994348711,counts_48h_primary.csv,0.9988165303409104
0.0010588511528661381,0,0.20677439910235956,48,0.0010534838145854807,1352.9870633422677,668.6793024418718,1.5178408642819554e-10,reinduction,true,183,1343.3586048837435,counts_0h_reinduction.csv,0.9949309794241344
0.009402684828311398,1,0.2638427919423774,45,0.009089544497217933,1775.9281879090133,879.2745735419304,7.087337233656829e-10,reinduction,true,328,1764.5491470838608,counts_1h_reinduction.csv,0.9666967109063783
0.0007005193216723875,2,0.23616646151119472,110,0.0006984536704926325,3794.9661392335884,1888.4014105973902,2.981248062520938e-11,reinduction,true,426,3782.8028211947803,counts_2h_reinduction.csv,0.9970512573802767
0.0015030127171250858,4,0.27356813556698406,121,0.0014946169558805549,3813.0072486091753,1897.329786116363,0.02740010282386038,reinduction,true,453,3800.659572232726,counts_4h_reinduction.csv,0.9944140451049608
0.008484871489685457,8,0.533670253266641,81,0.008351055490121858,2153.0680523070155,1068.2760288496092,0.02343377379754501,reinduction,true,246,2142.5520576992185,counts_8h_reinduction.csv,0.984228871382876
0.004642157602998049,16,0.6256244155728315,176,0.0046056998698601566,4910.2298385558815,2445.8573683818245,0.0699893610211547,reinduction,true,479,4897.714736763649,counts_16h_reinduction.csv,0.9921463818646858
0.007682424420719343,24,0.5153677779616702,73,0.007571197008764916,1860.8394795047677,922.4062383744366,3.226741329933134e-11,reinduction,true,209,1850.8124767488732,counts_24h_reinduction.csv,0.9855218345325404
